LOCATION,TIME,CO,CO2,GHG,NOX,SOX,VOC
ALB,1983,0.0,8.999462999999999,0.0,0.0,0.0,0.0
ALB,1984,0.0,9.693175,0.0,0.0,0.0,0.0
ALB,1985,0.0,9.269926,0.0,0.0,0.0,0.0
ALB,1986,0.0,9.251615999999999,0.0,0.0,0.0,0.0
ALB,1987,0.0,9.582079,0.0,0.0,0.0,0.0
ALB,1988,0.0,9.440662,0.0,0.0,0.0,0.0
ALB,1989,0.0,8.959342,0.0,0.0,0.0,0.0
ALB,1990,0.0,11.036754,0.0,0.0,0.0,0.0
ALB,1991,0.0,9.842076,0.0,0.0,0.0,0.0
ALB,1992,0.0,8.616639000000001,0.0,0.0,0.0,0.0
ALB,1993,0.0,8.415595,0.0,0.0,0.0,0.0
ALB,1994,0.0,8.843195999999999,0.0,0.0,0.0,0.0
ALB,1995,0.0,9.767855,0.0,0.0,0.0,0.0
ALB,1996,0.0,10.643087,0.0,0.0,0.0,0.0
ALB,1997,0.0,11.407409999999999,0.0,0.0,0.0,0.0
ALB,1998,0.0,10.720965,0.0,0.0,0.0,0.0
ALB,1999,0.0,9.570276,0.0,0.0,0.0,0.0
ALB,2000,0.0,9.872861,0.0,0.0,0.0,0.0
ALB,2001,0.0,10.274225000000001,0.0,0.0,0.0,0.0
ALB,2002,0.0,10.371875,0.0,0.0,0.0,0.0
ALB,2003,0.0,10.66502,0.0,0.0,0.0,0.0
ALB,2004,0.0,10.952077,0.0,0.0,0.0,0.0
ALB,2005,0.0,11.30945,0.0,0.0,0.0,0.0
ALB,2006,0.0,11.685993,0.0,0.0,0.0,0.0
ALB,2007,0.0,12.110638999999999,0.0,0.0,0.0,0.0
ALB,2008,0.0,12.685622,0.0,0.0,0.0,0.0
ALB,2009,0.0,12.903219,0.0,0.0,0.0,0.0
ALB,2010,0.0,13.097718,0.0,0.0,0.0,0.0
ALB,2011,0.0,13.170157,0.0,0.0,0.0,0.0
ALB,2012,0.0,13.841785000000002,0.0,0.0,0.0,0.0
ALB,2013,0.0,13.746407000000001,0.0,0.0,0.0,0.0
ALB,2014,0.0,13.503032,0.0,0.0,0.0,0.0
ALB,2015,0.0,13.91293,0.0,0.0,0.0,0.0
ALB,2016,0.0,14.372745,0.0,0.0,0.0,0.0
ALB,2017,0.0,14.122695,0.0,0.0,0.0,0.0
ALB,2018,0.0,14.458485,0.0,0.0,0.0,0.0
ALB,2019,0.0,14.905650999999999,0.0,0.0,0.0,0.0
ALB,2020,0.0,15.472703000000001,0.0,0.0,0.0,0.0
ALB,2021,0.0,13.9051483,0.0,0.0,0.0,0.0
ARE,1960,0.0,0.0,0.0,0.0,0.0,0.0
ARE,1961,0.0,0.0,0.0,0.0,0.0,0.0
ARE,1962,0.0,0.0,0.0,0.0,0.0,0.0
ARE,1963,0.0,0.0,0.0,0.0,0.0,0.0
ARE,1964,0.0,0.0,0.0,0.0,0.0,0.0
ARE,1965,0.0,0.0,0.0,0.0,0.0,0.0
ARE,1966,0.0,0.0,0.0,0.0,0.0,0.0
ARE,1967,0.0,0.0,0.0,0.0,0.0,0.0
ARE,1968,0.0,0.0,0.0,0.0,0.0,0.0
ARE,1969,0.0,0.0,0.0,0.0,0.0,0.0
ARE,1970,0.0,0.0,0.0,0.0,0.0,0.0
ARE,1971,0.0,11.35316,0.0,0.0,0.0,0.0
ARE,1972,0.0,10.395426,0.0,0.0,0.0,0.0
ARE,1973,0.0,11.423521999999998,0.0,0.0,0.0,0.0
ARE,1974,0.0,10.591135,0.0,0.0,0.0,0.0
ARE,1975,0.0,13.899173000000001,0.0,0.0,0.0,0.0
ARE,1976,0.0,16.361012000000002,0.0,0.0,0.0,0.0
ARE,1977,0.0,25.033244,0.0,0.0,0.0,0.0
ARE,1978,0.0,26.920029,0.0,0.0,0.0,0.0
ARE,1979,0.0,30.058958,0.0,0.0,0.0,0.0
ARE,1980,0.0,38.061274,0.0,0.0,0.0,0.0
ARE,1981,0.0,44.586968999999996,0.0,0.0,0.0,0.0
ARE,1982,0.0,47.501948999999996,0.0,0.0,0.0,0.0
ARE,1983,0.0,44.799929,0.0,0.0,0.0,0.0
ARE,1984,0.0,56.498971999999995,0.0,0.0,0.0,0.0
ARE,1985,0.0,61.7235,0.0,0.0,0.0,0.0
ARE,1986,0.0,67.684424,0.0,0.0,0.0,0.0
ARE,1987,0.0,73.03212500000001,0.0,0.0,0.0,0.0
ARE,1988,0.0,73.365724,0.0,0.0,0.0,0.0
ARE,1989,0.0,82.04591500000001,0.0,0.0,0.0,0.0
ARE,1990,0.0,84.191216,0.0,0.0,0.0,0.0
ARE,1991,0.0,93.174993,0.0,0.0,0.0,0.0
ARE,1992,0.0,87.881409,0.0,0.0,0.0,0.0
ARE,1993,0.0,90.65993,0.0,0.0,0.0,0.0
ARE,1994,0.0,97.687383,0.0,0.0,0.0,0.0
