0,1,2,3,4,5
Gwanak-gu,2023-01-16,32444,Seodaemun-gu,2023-04-29,2545.0
Gwangjin-gu,2023-01-16,78622,Gangseo-gu,2023-04-29,3625.0
Gangbuk-gu,2023-01-16,91079,Seocho-gu,2023-04-29,21576.0
Jung-gu,2023-01-16,60904,Mapo-gu,2023-04-29,1766.0
Gangseo-gu,2023-01-16,56385,Jongno-gu,2023-04-29,4006.0
Seoul_Grand_Park,2023-01-16,6339,Yongsan-gu,2023-04-29,363.0
Geumcheon-gu,2023-01-16,101474,Gangdong-gu,2023-04-29,4421.0
Eunpyeong-gu,2023-01-16,4766,Gangbuk-gu,2023-04-29,2329.0
Songpa-gu,2023-01-16,27493,Eunpyeong-gu,2023-04-29,2670.0
Mapo-gu,2023-01-16,107160,Gwangjin-gu,2023-04-29,7780.0
Dongjak-gu,2023-01-16,118158,Songpa-gu,2023-04-30,729.0
Jongno-gu,2023-01-16,4988,Gangseo-gu,2023-04-30,3086.0
Dobong-gu,2023-01-16,118025,Mapo-gu,2023-04-30,2098.0
Seocho-gu,2023-01-16,59142,Gangdong-gu,2023-04-30,4976.0
Guro-gu,2023-01-16,131418,Gwanak-gu,2023-04-30,2898.0
Seodaemun-gu,2023-01-16,5707,Seoul_Grand_Park,2023-04-30,23666.0
Yongsan-gu,2023-01-16,491,Gwangjin-gu,2023-04-30,7068.0
Gangdong-gu,2023-01-16,101469,Yongsan-gu,2023-04-30,358.0
Jungnang-gu,2023-01-16,45365,Eunpyeong-gu,2023-04-30,1889.0
Nowon-gu,2023-01-16,54540,Gangbuk-gu,2023-04-30,2468.0
Yangcheon-gu,2023-01-16,105890,Jongno-gu,2023-04-30,5104.0
Gangdong-gu,2023-01-17,102908,Jung-gu,2023-04-30,31162.0
Eunpyeong-gu,2023-01-17,4908,Seodaemun-gu,2023-04-30,2516.0
Jungnang-gu,2023-01-17,46222,Seocho-gu,2023-04-30,16522.0
Yongsan-gu,2023-01-17,552,Seongdong-gu,2023-04-30,4608.0
Gwangjin-gu,2023-01-17,80779,Gangnam-gu,2023-04-30,14367.0
Geumcheon-gu,2023-01-17,104425,Yangcheon-gu,2023-04-30,1811.0
Seoul_Grand_Park,2023-01-17,5940,Jongno-gu,2023-05-01,5582.0
Gangbuk-gu,2023-01-17,90530,Yangcheon-gu,2023-05-01,1580.0
Seodaemun-gu,2023-01-17,6358,Jung-gu,2023-05-01,24064.0
Gangnam-gu,2023-01-17,119494,Seongdong-gu,2023-05-01,3670.0
Dobong-gu,2023-01-17,119198,Gangdong-gu,2023-05-01,4950.0
Nowon-gu,2023-01-17,53323,Gangseo-gu,2023-05-01,4006.0
Songpa-gu,2023-01-17,26084,Seocho-gu,2023-05-01,17726.0
Yangcheon-gu,2023-01-17,107585,Mapo-gu,2023-05-01,1589.0
Dongjak-gu,2023-01-17,124159,Gwangjin-gu,2023-05-01,5518.0
Gangseo-gu,2023-01-17,57517,Gwanak-gu,2023-05-01,1998.0
Guro-gu,2023-01-17,132795,Seoul_Grand_Park,2023-05-01,21429.0
Jongno-gu,2023-01-17,4414,Seodaemun-gu,2023-05-01,3038.0
Gwanak-gu,2023-01-17,31674,Eunpyeong-gu,2023-05-01,2398.0
Seocho-gu,2023-01-17,60449,Gangbuk-gu,2023-05-01,2346.0
Mapo-gu,2023-01-17,109125,Songpa-gu,2023-05-01,647.0
Jung-gu,2023-01-17,56773,Yongsan-gu,2023-05-01,249.0
Seongdong-gu,2023-01-17,2548,Gangnam-gu,2023-05-01,15588.0
Seodaemun-gu,2023-01-18,6679,Yongsan-gu,2023-05-02,162.0
Guro-gu,2023-01-18,138168,Seodaemun-gu,2023-05-02,2367.0
Eunpyeong-gu,2023-01-18,4835,Gangbuk-gu,2023-05-02,1362.0
Jungnang-gu,2023-01-18,48630,Mapo-gu,2023-05-02,1176.0
Yongsan-gu,2023-01-18,580,Jongno-gu,2023-05-02,2697.0
Seocho-gu,2023-01-18,55267,Seongdong-gu,2023-05-02,1798.0
Jongno-gu,2023-01-18,4786,Gangdong-gu,2023-05-02,4490.0
Dongjak-gu,2023-01-18,137858,Songpa-gu,2023-05-02,405.0
Seoul_Grand_Park,2023-01-18,6243,Eunpyeong-gu,2023-05-02,2088.0
Gangnam-gu,2023-01-18,126621,Gangnam-gu,2023-05-02,15762.0
Yangcheon-gu,2023-01-18,111855,Yangcheon-gu,2023-05-02,1464.0
Gangseo-gu,2023-01-18,58487,Gangseo-gu,2023-05-02,5243.0
Geumcheon-gu,2023-01-18,107200,Seoul_Grand_Park,2023-05-02,3522.0
Songpa-gu,2023-01-18,27087,Gwangjin-gu,2023-05-02,4663.0
Mapo-gu,2023-01-18,113158,Seocho-gu,2023-05-02,20266.0
Jung-gu,2023-01-18,57995,Jung-gu,2023-05-02,18095.0
Seongdong-gu,2023-01-18,2707,Gwanak-gu,2023-05-02,1574.0
Gangdong-gu,2023-01-18,107456,Seocho-gu,2023-05-03,21577.0
Dobong-gu,2023-01-18,124366,Yongsan-gu,2023-05-03,78.0
Gwangjin-gu,2023-01-18,84160,Gangdong-gu,2023-05-03,5166.0
Gangbuk-gu,2023-01-18,95715,Gwanak-gu,2023-05-03,2406.0
Nowon-gu,2023-01-18,55884,Seoul_Grand_Park,2023-05-03,6798.0
Gwanak-gu,2023-01-18,32539,Songpa-gu,2023-05-03,75.0
Songpa-gu,2023-01-19,26723,Eunpyeong-gu,2023-05-03,2516.0
Gangnam-gu,2023-01-19,125453,Jongno-gu,2023-05-03,3487.0
Jongno-gu,2023-01-19,8424,Gangnam-gu,2023-05-03,16983.0
Seongdong-gu,2023-01-19,2488,Gangbuk-gu,2023-05-03,2317.0
Seoul_Grand_Park,2023-01-19,6022,Seodaemun-gu,2023-05-03,2969.0
Eunpyeong-gu,2023-01-19,4994,Jung-gu,2023-05-03,27317.0
Seodaemun-gu,2023-01-19,7176,Gwangjin-gu,2023-05-03,6657.0
Dobong-gu,2023-01-19,122766,Gangseo-gu,2023-05-03,5502.0
Gwangjin-gu,2023-01-19,85717,Seongdong-gu,2023-05-03,1642.0
Gangdong-gu,2023-01-19,107435,Mapo-gu,2023-05-03,1289.0
Gangseo-gu,2023-01-19,57939,Yangcheon-gu,2023-05-03,2352.0
Yangcheon-gu,2023-01-19,113754,Gangnam-gu,2023-05-04,19223.0
Nowon-gu,2023-01-19,55942,Mapo-gu,2023-05-04,1379.0
Geumcheon-gu,2023-01-19,106849,Jongno-gu,2023-05-04,4321.0
Mapo-gu,2023-01-19,109944,Jung-gu,2023-05-04,37167.0
Jung-gu,2023-01-19,53081,Seoul_Grand_Park,2023-05-04,13985.0
Gwanak-gu,2023-01-19,32071,Songpa-gu,2023-05-04,255.0
Yongsan-gu,2023-01-19,524,Seodaemun-gu,2023-05-04,3032.0
Seocho-gu,2023-01-19,42006,Gwanak-gu,2023-05-04,2717.0
Gangbuk-gu,2023-01-19,99354,Eunpyeong-gu,2023-05-04,2675.0
Guro-gu,2023-01-19,138582,Gangbuk-gu,2023-05-04,3270.0
Dongjak-gu,2023-01-19,147385,Seongdong-gu,2023-05-04,2114.0
Jungnang-gu,2023-01-19,48314,Gangseo-gu,2023-05-04,6216.0
Songpa-gu,2023-01-20,26185,Seocho-gu,2023-05-04,23486.0
Dongjak-gu,2023-01-20,130174,Yongsan-gu,2023-05-04,172.0
Guro-gu,2023-01-20,149662,Yangcheon-gu,2023-05-04,3001.0
Dobong-gu,2023-01-20,127544,Gwangjin-gu,2023-05-04,9347.0
Yangcheon-gu,2023-01-20,116799,Gangdong-gu,2023-05-04,5400.0
Seodaemun-gu,2023-01-20,7325,Gangnam-gu,2023-05-05,18587.0
Gwangjin-gu,2023-01-20,91772,Gwangjin-gu,2023-05-05,6204.0
Geumcheon-gu,2023-01-20,103625,Gangdong-gu,2023-05-05,3138.0
Gangseo-gu,2023-01-20,58121,Gwanak-gu,2023-05-05,2623.0
Mapo-gu,2023-01-20,109711,Gangbuk-gu,2023-05-05,1757.0
Gangdong-gu,2023-01-20,113343,Mapo-gu,2023-05-05,1191.0
Nowon-gu,2023-01-20,56276,Seoul_Grand_Park,2023-05-05,3362.0
Jungnang-gu,2023-01-20,51117,Songpa-gu,2023-05-05,194.0
Jung-gu,2023-01-20,54451,Yongsan-gu,2023-05-05,249.0
Seocho-gu,2023-01-20,42466,Seodaemun-gu,2023-05-05,2142.0
Seoul_Grand_Park,2023-01-20,4858,Eunpyeong-gu,2023-05-05,1666.0
Eunpyeong-gu,2023-01-20,4549,Jongno-gu,2023-05-05,1737.0
Gangbuk-gu,2023-01-20,101224,Jung-gu,2023-05-05,30253.0
Jongno-gu,2023-01-20,4299,Seocho-gu,2023-05-05,19171.0
Yongsan-gu,2023-01-20,486,Yangcheon-gu,2023-05-05,1357.0
Gangnam-gu,2023-01-20,126726,Gangseo-gu,2023-05-05,3603.0
Seongdong-gu,2023-01-20,2607,Seongdong-gu,2023-05-05,1733.0
Gwanak-gu,2023-01-20,33325,Gangbuk-gu,2023-05-06,2401.0
Jung-gu,2023-01-21,63474,Seoul_Grand_Park,2023-05-06,3416.0
Guro-gu,2023-01-21,139864,Gangdong-gu,2023-05-06,3762.0
Yongsan-gu,2023-01-21,453,Yangcheon-gu,2023-05-06,1672.0
Gangseo-gu,2023-01-21,46295,Yongsan-gu,2023-05-06,190.0
Seocho-gu,2023-01-21,22604,Gangseo-gu,2023-05-06,4202.0
Geumcheon-gu,2023-01-21,79952,Eunpyeong-gu,2023-05-06,2620.0
Seongdong-gu,2023-01-21,3005,Seocho-gu,2023-05-06,16974.0
Gwangjin-gu,2023-01-21,90763,Mapo-gu,2023-05-06,1375.0
Seoul_Grand_Park,2023-01-21,6847,Jung-gu,2023-05-06,31073.0
Gangbuk-gu,2023-01-21,101218,Seongdong-gu,2023-05-06,2642.0
Jongno-gu,2023-01-21,5548,Gwanak-gu,2023-05-06,2319.0
Gwanak-gu,2023-01-21,31097,Gwangjin-gu,2023-05-06,6865.0
Dobong-gu,2023-01-21,128716,Seodaemun-gu,2023-05-06,2431.0
Gangnam-gu,2023-01-21,89943,Songpa-gu,2023-05-06,8.0
Yangcheon-gu,2023-01-21,109878,Jongno-gu,2023-05-06,2753.0
Jungnang-gu,2023-01-21,54468,Gangnam-gu,2023-05-06,18978.0
Gangdong-gu,2023-01-21,106689,Seongdong-gu,2023-05-07,2662.0
Nowon-gu,2023-01-21,56344,Gwanak-gu,2023-05-07,2260.0
Eunpyeong-gu,2023-01-21,3310,Seocho-gu,2023-05-07,13523.0
Dongjak-gu,2023-01-21,133172,Yongsan-gu,2023-05-07,302.0
Songpa-gu,2023-01-21,21002,Gangseo-gu,2023-05-07,3501.0
Seodaemun-gu,2023-01-21,6752,Gangnam-gu,2023-05-07,13469.0
Mapo-gu,2023-01-21,115594,Gangdong-gu,2023-05-07,3788.0
Gwangjin-gu,2023-01-22,60361,Songpa-gu,2023-05-07,0.0
Seoul_Grand_Park,2023-01-22,9276,Mapo-gu,2023-05-07,1437.0
Seodaemun-gu,2023-01-22,2784,Jongno-gu,2023-05-07,3824.0
Geumcheon-gu,2023-01-22,75566,Seoul_Grand_Park,2023-05-07,10052.0
Mapo-gu,2023-01-22,88006,Yangcheon-gu,2023-05-07,1768.0
Jung-gu,2023-01-22,60326,Jung-gu,2023-05-07,20153.0
Gangseo-gu,2023-01-22,39844,Gangbuk-gu,2023-05-07,2109.0
Nowon-gu,2023-01-22,48731,Seodaemun-gu,2023-05-07,2297.0
Eunpyeong-gu,2023-01-22,2733,Gwangjin-gu,2023-05-07,5507.0
Gangdong-gu,2023-01-22,79374,Eunpyeong-gu,2023-05-07,1560.0
Gwanak-gu,2023-01-22,24676,Jung-gu,2023-05-08,14781.0
Seocho-gu,2023-01-22,13016,Seodaemun-gu,2023-05-08,2388.0
Gangbuk-gu,2023-01-22,77197,Gangseo-gu,2023-05-08,5323.0
Yangcheon-gu,2023-01-22,86734,Gwangjin-gu,2023-05-08,5134.0
Yongsan-gu,2023-01-22,510,Yangcheon-gu,2023-05-08,1730.0
Dobong-gu,2023-01-22,109944,Gwanak-gu,2023-05-08,1312.0
Gangnam-gu,2023-01-22,68072,Mapo-gu,2023-05-08,1141.0
Songpa-gu,2023-01-22,23287,Gangnam-gu,2023-05-08,14116.0
Jongno-gu,2023-01-22,6721,Songpa-gu,2023-05-08,90.0
Seongdong-gu,2023-01-22,2080,Seongdong-gu,2023-05-08,1520.0
Dongjak-gu,2023-01-22,121289,Eunpyeong-gu,2023-05-08,1760.0
Guro-gu,2023-01-22,113284,Yongsan-gu,2023-05-08,145.0
Jungnang-gu,2023-01-22,44075,Jongno-gu,2023-05-08,3285.0
Yongsan-gu,2023-01-23,683,Seocho-gu,2023-05-08,18095.0
Dongjak-gu,2023-01-23,122246,Gangbuk-gu,2023-05-08,1755.0
Dobong-gu,2023-01-23,113624,Seoul_Grand_Park,2023-05-08,4273.0
Mapo-gu,2023-01-23,103798,Gangdong-gu,2023-05-08,5127.0
Guro-gu,2023-01-23,118120,Gwanak-gu,2023-05-09,1863.0
Geumcheon-gu,2023-01-23,77933,Yangcheon-gu,2023-05-09,2959.0
Gwangjin-gu,2023-01-23,65736,Seoul_Grand_Park,2023-05-09,4292.0
Songpa-gu,2023-01-23,26480,Eunpyeong-gu,2023-05-09,2045.0
Gangseo-gu,2023-01-23,42611,Gwangjin-gu,2023-05-09,6725.0
Seongdong-gu,2023-01-23,3985,Gangbuk-gu,2023-05-09,2187.0
Gangnam-gu,2023-01-23,79040,Jung-gu,2023-05-09,21747.0
Nowon-gu,2023-01-23,51523,Mapo-gu,2023-05-09,1157.0
Jung-gu,2023-01-23,74584,Gangdong-gu,2023-05-09,4758.0
Seocho-gu,2023-01-23,20489,Gangnam-gu,2023-05-09,18095.0
Jungnang-gu,2023-01-23,43256,Jongno-gu,2023-05-09,2788.0
Gwanak-gu,2023-01-23,27048,Seocho-gu,2023-05-09,23807.0
Gangbuk-gu,2023-01-23,79682,Yongsan-gu,2023-05-09,193.0
Eunpyeong-gu,2023-01-23,3046,Seodaemun-gu,2023-05-09,2789.0
Seoul_Grand_Park,2023-01-23,18063,Seongdong-gu,2023-05-09,1617.0
Yangcheon-gu,2023-01-23,91183,Songpa-gu,2023-05-09,92.0
Seodaemun-gu,2023-01-23,3784,Gangseo-gu,2023-05-09,5378.0
Gangdong-gu,2023-01-23,89880,Seodaemun-gu,2023-05-10,2787.0
Jongno-gu,2023-01-23,8349,Jung-gu,2023-05-10,18326.0
Seocho-gu,2023-01-24,15062,Seoul_Grand_Park,2023-05-10,5261.0
Seodaemun-gu,2023-01-24,2517,Seocho-gu,2023-05-10,23658.0
Dobong-gu,2023-01-24,107845,Gwanak-gu,2023-05-10,1896.0
Gwanak-gu,2023-01-24,23892,Yongsan-gu,2023-05-10,209.0
Yangcheon-gu,2023-01-24,81223,Yangcheon-gu,2023-05-10,2031.0
Jongno-gu,2023-01-24,3441,Gangseo-gu,2023-05-10,6395.0
Songpa-gu,2023-01-24,2429,Gangnam-gu,2023-05-10,18829.0
Nowon-gu,2023-01-24,48542,Gangdong-gu,2023-05-10,5042.0
Jungnang-gu,2023-01-24,40636,Eunpyeong-gu,2023-05-10,1854.0
Seoul_Grand_Park,2023-01-24,3536,Gangbuk-gu,2023-05-10,2090.0
Gangnam-gu,2023-01-24,78706,Mapo-gu,2023-05-10,1168.0
Eunpyeong-gu,2023-01-24,1732,Seongdong-gu,2023-05-10,1871.0
Gwangjin-gu,2023-01-24,60330,Jongno-gu,2023-05-10,2985.0
Yongsan-gu,2023-01-24,211,Songpa-gu,2023-05-10,29.0
Gangbuk-gu,2023-01-24,71405,Gwangjin-gu,2023-05-10,6968.0
Jung-gu,2023-01-24,35564,Seodaemun-gu,2023-05-11,2598.0
Guro-gu,2023-01-24,111300,Gwanak-gu,2023-05-11,2125.0
Gangdong-gu,2023-01-24,83366,Gangbuk-gu,2023-05-11,2336.0
Geumcheon-gu,2023-01-24,75580,Gangdong-gu,2023-05-11,4860.0
Seongdong-gu,2023-01-24,1580,Songpa-gu,2023-05-11,42.0
Gangseo-gu,2023-01-24,38961,Yongsan-gu,2023-05-11,155.0
Dongjak-gu,2023-01-24,53597,Seongdong-gu,2023-05-11,1858.0
Mapo-gu,2023-01-24,85364,Seoul_Grand_Park,2023-05-11,6607.0
Gwangjin-gu,2023-01-25,68589,Jongno-gu,2023-05-11,3506.0
Mapo-gu,2023-01-25,91828,Seocho-gu,2023-05-11,20320.0
Gangseo-gu,2023-01-25,51199,Gangseo-gu,2023-05-11,5875.0
Yangcheon-gu,2023-01-25,88655,Gangnam-gu,2023-05-11,15713.0
Jongno-gu,2023-01-25,3937,Jung-gu,2023-05-11,22473.0
Jungnang-gu,2023-01-25,41584,Eunpyeong-gu,2023-05-11,2186.0
Dongjak-gu,2023-01-25,84839,Mapo-gu,2023-05-11,1350.0
Yongsan-gu,2023-01-25,400,Gwangjin-gu,2023-05-11,7612.0
Jung-gu,2023-01-25,48144,Yangcheon-gu,2023-05-11,2546.0
Dobong-gu,2023-01-25,110266,Seongdong-gu,2023-05-12,2260.0
Eunpyeong-gu,2023-01-25,3839,Gangnam-gu,2023-05-12,21449.0
Gangbuk-gu,2023-01-25,80666,Jung-gu,2023-05-12,27437.0
Seodaemun-gu,2023-01-25,5020,Jongno-gu,2023-05-12,3343.0
Geumcheon-gu,2023-01-25,97998,Seocho-gu,2023-05-12,26391.0
Seongdong-gu,2023-01-25,1878,Mapo-gu,2023-05-12,1325.0
Seocho-gu,2023-01-25,30723,Gwangjin-gu,2023-05-12,7364.0
Songpa-gu,2023-01-25,8648,Eunpyeong-gu,2023-05-12,2382.0
Gangdong-gu,2023-01-25,94634,Gangbuk-gu,2023-05-12,2587.0
Guro-gu,2023-01-25,118267,Seodaemun-gu,2023-05-12,2579.0
Nowon-gu,2023-01-25,50096,Seoul_Grand_Park,2023-05-12,14608.0
Gwanak-gu,2023-01-25,26660,Gangseo-gu,2023-05-12,5614.0
Seoul_Grand_Park,2023-01-25,2755,Songpa-gu,2023-05-12,4.0
Gangnam-gu,2023-01-25,104168,Yangcheon-gu,2023-05-12,2692.0
Jongno-gu,2023-01-26,4027,Gwanak-gu,2023-05-12,2534.0
Jungnang-gu,2023-01-26,18229,Gangdong-gu,2023-05-12,4920.0
Seoul_Grand_Park,2023-01-26,4708,Yongsan-gu,2023-05-12,195.0
Guro-gu,2023-01-26,51089,Seocho-gu,2023-05-13,24977.0
Gangnam-gu,2023-01-26,77911,Gwangjin-gu,2023-05-13,7528.0
Yongsan-gu,2023-01-26,461,Jongno-gu,2023-05-13,4333.0
Seongdong-gu,2023-01-26,2696,Songpa-gu,2023-05-13,103.0
Jung-gu,2023-01-26,59861,Jung-gu,2023-05-13,27511.0
Dobong-gu,2023-01-26,51925,Mapo-gu,2023-05-13,2150.0
Dongjak-gu,2023-01-26,34941,Gangdong-gu,2023-05-13,4467.0
Songpa-gu,2023-01-26,1905,Gwanak-gu,2023-05-13,2805.0
Gangbuk-gu,2023-01-26,36397,Gangbuk-gu,2023-05-13,2582.0
Gwanak-gu,2023-01-26,15058,Yongsan-gu,2023-05-13,394.0
Geumcheon-gu,2023-01-26,42368,Seongdong-gu,2023-05-13,4259.0
Seocho-gu,2023-01-26,35311,Yangcheon-gu,2023-05-13,2089.0
Eunpyeong-gu,2023-01-26,4082,Seodaemun-gu,2023-05-13,2798.0
Seodaemun-gu,2023-01-26,4654,Gangseo-gu,2023-05-13,4534.0
Nowon-gu,2023-01-26,22246,Eunpyeong-gu,2023-05-13,2636.0
Mapo-gu,2023-01-26,38419,Seoul_Grand_Park,2023-05-13,22927.0
Gangseo-gu,2023-01-26,30866,Gangnam-gu,2023-05-13,22388.0
Yangcheon-gu,2023-01-26,44887,Gangnam-gu,2023-05-14,13891.0
Gangdong-gu,2023-01-26,48163,Gangbuk-gu,2023-05-14,1962.0
Gwangjin-gu,2023-01-26,38960,Yangcheon-gu,2023-05-14,1541.0
Geumcheon-gu,2023-01-27,68899,Mapo-gu,2023-05-14,1315.0
Jung-gu,2023-01-27,66133,Gangdong-gu,2023-05-14,3162.0
Gwanak-gu,2023-01-27,23159,Songpa-gu,2023-05-14,248.0
Mapo-gu,2023-01-27,77258,Seoul_Grand_Park,2023-05-14,16404.0
Seocho-gu,2023-01-27,39686,Seocho-gu,2023-05-14,16452.0
Jungnang-gu,2023-01-27,29353,Gwangjin-gu,2023-05-14,5532.0
Jongno-gu,2023-01-27,4575,Eunpyeong-gu,2023-05-14,1636.0
Nowon-gu,2023-01-27,35131,Jongno-gu,2023-05-14,3779.0
Gwangjin-gu,2023-01-27,60993,Seodaemun-gu,2023-05-14,2356.0
Guro-gu,2023-01-27,87266,Gangseo-gu,2023-05-14,2717.0
Gangseo-gu,2023-01-27,43363,Jung-gu,2023-05-14,20744.0
Dobong-gu,2023-01-27,76255,Seongdong-gu,2023-05-14,2960.0
Seongdong-gu,2023-01-27,2761,Yongsan-gu,2023-05-14,254.0
Gangdong-gu,2023-01-27,39341,Gwanak-gu,2023-05-14,2379.0
Songpa-gu,2023-01-27,10684,Yongsan-gu,2023-05-15,102.0
Seodaemun-gu,2023-01-27,5152,Gwangjin-gu,2023-05-15,9059.0
Yangcheon-gu,2023-01-27,54170,Eunpyeong-gu,2023-05-15,2671.0
Eunpyeong-gu,2023-01-27,4293,Seoul_Grand_Park,2023-05-15,6721.0
Gangbuk-gu,2023-01-27,62399,Gangseo-gu,2023-05-15,6360.0
Yongsan-gu,2023-01-27,552,Yangcheon-gu,2023-05-15,2918.0
Seoul_Grand_Park,2023-01-27,4663,Gangbuk-gu,2023-05-15,2886.0
Dongjak-gu,2023-01-27,78543,Gangnam-gu,2023-05-15,17630.0
Gangnam-gu,2023-01-27,104752,Seongdong-gu,2023-05-15,1622.0
Jung-gu,2023-01-28,69880,Seodaemun-gu,2023-05-15,2662.0
Yangcheon-gu,2023-01-28,100266,Mapo-gu,2023-05-15,1217.0
Gangbuk-gu,2023-01-28,86828,Jung-gu,2023-05-15,33177.0
Yongsan-gu,2023-01-28,786,Songpa-gu,2023-05-15,69.0
Gwanak-gu,2023-01-28,32217,Gangdong-gu,2023-05-15,5230.0
Jongno-gu,2023-01-28,5882,Gwanak-gu,2023-05-15,2977.0
Seocho-gu,2023-01-28,42618,Seocho-gu,2023-05-15,23258.0
Gwangjin-gu,2023-01-28,81112,Jongno-gu,2023-05-15,2922.0
Nowon-gu,2023-01-28,53027,Seongdong-gu,2023-05-16,1138.0
Songpa-gu,2023-01-28,18921,Eunpyeong-gu,2023-05-16,1748.0
Seodaemun-gu,2023-01-28,5235,Yongsan-gu,2023-05-16,77.0
Gangnam-gu,2023-01-28,122457,Gwangjin-gu,2023-05-16,6403.0
Dongjak-gu,2023-01-28,105150,Jung-gu,2023-05-16,22922.0
Geumcheon-gu,2023-01-28,94577,Gangdong-gu,2023-05-16,3591.0
Guro-gu,2023-01-28,125303,Seoul_Grand_Park,2023-05-16,3852.0
Seoul_Grand_Park,2023-01-28,10613,Gangbuk-gu,2023-05-16,2004.0
Jungnang-gu,2023-01-28,46091,Gangseo-gu,2023-05-16,4786.0
Eunpyeong-gu,2023-01-28,4550,Gangnam-gu,2023-05-16,16949.0
Dobong-gu,2023-01-28,116660,Seodaemun-gu,2023-05-16,2525.0
Mapo-gu,2023-01-28,118932,Jongno-gu,2023-05-16,2593.0
Seongdong-gu,2023-01-28,4610,Songpa-gu,2023-05-16,35.0
Gangdong-gu,2023-01-28,72901,Seocho-gu,2023-05-16,20733.0
Gangseo-gu,2023-01-28,52019,Gwanak-gu,2023-05-16,1745.0
Mapo-gu,2023-01-29,105304,Yangcheon-gu,2023-05-16,1943.0
Seongdong-gu,2023-01-29,4635,Mapo-gu,2023-05-16,881.0
Gangnam-gu,2023-01-29,94870,Songpa-gu,2023-05-17,231.0
Seoul_Grand_Park,2023-01-29,13544,Seodaemun-gu,2023-05-17,2614.0
Jongno-gu,2023-01-29,6106,Gangnam-gu,2023-05-17,14984.0
Gangseo-gu,2023-01-29,42454,Jongno-gu,2023-05-17,3321.0
Seocho-gu,2023-01-29,28886,Seongdong-gu,2023-05-17,1710.0
Songpa-gu,2023-01-29,24935,Yongsan-gu,2023-05-17,55.0
Yongsan-gu,2023-01-29,674,Seoul_Grand_Park,2023-05-17,6073.0
Gwanak-gu,2023-01-29,29375,Yangcheon-gu,2023-05-17,2467.0
Dongjak-gu,2023-01-29,118386,Seocho-gu,2023-05-17,21190.0
Dobong-gu,2023-01-29,106567,Gwanak-gu,2023-05-17,2016.0
Geumcheon-gu,2023-01-29,80130,Mapo-gu,2023-05-17,1192.0
Gwangjin-gu,2023-01-29,69160,Gangseo-gu,2023-05-17,5698.0
Yangcheon-gu,2023-01-29,90048,Eunpyeong-gu,2023-05-17,2295.0
Jung-gu,2023-01-29,63168,Gangdong-gu,2023-05-17,4758.0
Jungnang-gu,2023-01-29,41058,Jung-gu,2023-05-17,24491.0
Gangdong-gu,2023-01-29,64868,Gwangjin-gu,2023-05-17,7169.0
Eunpyeong-gu,2023-01-29,3725,Gangbuk-gu,2023-05-17,2288.0
Guro-gu,2023-01-29,113030,Jung-gu,2023-05-18,34150.0
Gangbuk-gu,2023-01-29,75626,Mapo-gu,2023-05-18,1509.0
Nowon-gu,2023-01-29,48290,Seocho-gu,2023-05-18,23428.0
Seodaemun-gu,2023-01-29,4844,Gangdong-gu,2023-05-18,5946.0
Seoul_Grand_Park,2023-01-30,6862,Yongsan-gu,2023-05-18,273.0
Gangseo-gu,2023-01-30,59149,Songpa-gu,2023-05-18,0.0
Seocho-gu,2023-01-30,40844,Jongno-gu,2023-05-18,4017.0
Dobong-gu,2023-01-30,123416,Gangnam-gu,2023-05-18,18972.0
Seongdong-gu,2023-01-30,2914,Yangcheon-gu,2023-05-18,3231.0
Eunpyeong-gu,2023-01-30,5278,Seodaemun-gu,2023-05-18,2617.0
Geumcheon-gu,2023-01-30,109363,Gwangjin-gu,2023-05-18,8956.0
Seodaemun-gu,2023-01-30,5947,Eunpyeong-gu,2023-05-18,2956.0
Gangdong-gu,2023-01-30,77868,Gangseo-gu,2023-05-18,8309.0
Guro-gu,2023-01-30,133210,Seongdong-gu,2023-05-18,2029.0
Gangbuk-gu,2023-01-30,89942,Gwanak-gu,2023-05-18,2800.0
Yangcheon-gu,2023-01-30,109667,Gangbuk-gu,2023-05-18,2756.0
Gwanak-gu,2023-01-30,31166,Seoul_Grand_Park,2023-05-18,7511.0
Jung-gu,2023-01-30,59293,Gangbuk-gu,2023-05-19,2993.0
Dongjak-gu,2023-01-30,137763,Gwangjin-gu,2023-05-19,7769.0
Gangnam-gu,2023-01-30,116231,Songpa-gu,2023-05-19,3.0
Jungnang-gu,2023-01-30,45611,Gangdong-gu,2023-05-19,5483.0
Mapo-gu,2023-01-30,111350,Eunpyeong-gu,2023-05-19,2541.0
Gwangjin-gu,2023-01-30,78512,Gangseo-gu,2023-05-19,7540.0
Jongno-gu,2023-01-30,4849,Yangcheon-gu,2023-05-19,2658.0
Yongsan-gu,2023-01-30,589,Gwanak-gu,2023-05-19,2683.0
Songpa-gu,2023-01-30,25567,Jung-gu,2023-05-19,28270.0
Nowon-gu,2023-01-30,55929,Yongsan-gu,2023-05-19,84.0
Dongjak-gu,2023-01-31,146058,Seoul_Grand_Park,2023-05-19,11327.0
Gangbuk-gu,2023-01-31,87731,Mapo-gu,2023-05-19,1310.0
Guro-gu,2023-01-31,127478,Seodaemun-gu,2023-05-19,3132.0
Gangnam-gu,2023-01-31,117873,Seongdong-gu,2023-05-19,2899.0
Songpa-gu,2023-01-31,25633,Gangnam-gu,2023-05-19,20164.0
Seongdong-gu,2023-01-31,3386,Seocho-gu,2023-05-19,27080.0
