Gu,Date,Population,id
Gangbuk-gu,2023-06-21,99097.0,11305
Jung-gu,2023-06-21,98202.0,11140
Dongjak-gu,2023-06-21,167273.0,11590
Jongno-gu,2023-06-21,27013.0,11110
Gangnam-gu,2023-06-21,191906.0,11680
Geumcheon-gu,2023-06-21,113696.0,11545
Seocho-gu,2023-06-21,62240.0,11650
Gangseo-gu,2023-06-21,49748.0,11500
Eunpyeong-gu,2023-06-21,6342.0,11380
Gwangjin-gu,2023-06-21,83485.0,11215
Yangcheon-gu,2023-06-21,143146.0,11470
Songpa-gu,2023-06-21,61613.0,11710
Seongdong-gu,2023-06-21,4730.0,11200
Yongsan-gu,2023-06-21,770.0,11170
Jungnang-gu,2023-06-21,41944.0,11260
Seodaemun-gu,2023-06-21,6905.0,11410
Gangdong-gu,2023-06-21,103471.0,11740
Mapo-gu,2023-06-21,66603.0,11440
Gwanak-gu,2023-06-21,84140.0,11620
Nowon-gu,2023-06-21,78222.0,11350
Dobong-gu,2023-06-21,109364.0,11320
Guro-gu,2023-06-21,139923.0,11530
