자치구,측정날짜,방문자수,SIG_CD
Jongno-gu,2023-01-06,13207.0,11110
Gangbuk-gu,2023-01-06,95355.0,11305
Yangcheon-gu,2023-01-06,106821.0,11470
Eunpyeong-gu,2023-01-06,5133.0,11380
Jungnang-gu,2023-01-06,47195.0,11260
Gangdong-gu,2023-01-06,103608.0,11740
Nowon-gu,2023-01-06,53339.0,11350
Gangseo-gu,2023-01-06,60419.0,11500
Yongsan-gu,2023-01-06,607.0,11170
Guro-gu,2023-01-06,134780.0,11530
Dongjak-gu,2023-01-06,159813.0,11590
Geumcheon-gu,2023-01-06,107496.0,11545
Seocho-gu,2023-01-06,65153.0,11650
Seongdong-gu,2023-01-06,2906.0,11200
Gwanak-gu,2023-01-06,32621.0,11620
Seocho-gu,2023-01-07,62632.0,11650
Mapo-gu,2023-01-07,110153.0,11440
Jongno-gu,2023-01-07,12562.0,11110
Eunpyeong-gu,2023-01-07,4627.0,11380
Yangcheon-gu,2023-01-07,102427.0,11470
Gangdong-gu,2023-01-07,101977.0,11740
Dongjak-gu,2023-01-07,157122.0,11590
Gangseo-gu,2023-01-07,53639.0,11500
Dobong-gu,2023-01-07,119201.0,11320
Yongsan-gu,2023-01-07,685.0,11170
Nowon-gu,2023-01-07,51884.0,11350
Seodaemun-gu,2023-01-07,5214.0,11410
Gwangjin-gu,2023-01-07,79547.0,11215
Gangnam-gu,2023-01-07,121774.0,11680
Jungnang-gu,2023-01-07,45357.0,11260
Guro-gu,2023-01-07,129430.0,11530
Geumcheon-gu,2023-01-07,95046.0,11545
Songpa-gu,2023-01-07,27836.0,11710
Seongdong-gu,2023-01-07,4666.0,11200
Gangbuk-gu,2023-01-07,91886.0,11305
Gwanak-gu,2023-01-07,33861.0,11620
Jung-gu,2023-01-07,76346.0,11140
Dobong-gu,2023-01-08,108001.0,11320
Gwangjin-gu,2023-01-08,72100.0,11215
Guro-gu,2023-01-08,119787.0,11530
Gangseo-gu,2023-01-08,43960.0,11500
Gangdong-gu,2023-01-08,90901.0,11740
Gangbuk-gu,2023-01-08,80246.0,11305
Seocho-gu,2023-01-08,36377.0,11650
Nowon-gu,2023-01-08,49350.0,11350
Mapo-gu,2023-01-08,102001.0,11440
Yangcheon-gu,2023-01-08,92256.0,11470
Dongjak-gu,2023-01-08,140844.0,11590
Seodaemun-gu,2023-01-08,5075.0,11410
Songpa-gu,2023-01-08,25890.0,11710
Seongdong-gu,2023-01-08,4062.0,11200
Jung-gu,2023-01-08,69536.0,11140
Eunpyeong-gu,2023-01-08,3586.0,11380
Gangnam-gu,2023-01-08,97513.0,11680
Jungnang-gu,2023-01-08,43905.0,11260
Jongno-gu,2023-01-08,15801.0,11110
Gwanak-gu,2023-01-08,30342.0,11620
Yongsan-gu,2023-01-08,612.0,11170
Geumcheon-gu,2023-01-08,81375.0,11545
Jongno-gu,2023-01-09,15938.0,11110
Gangbuk-gu,2023-01-09,94096.0,11305
Nowon-gu,2023-01-09,54655.0,11350
Yangcheon-gu,2023-01-09,104169.0,11470
Gangseo-gu,2023-01-09,56552.0,11500
Gwanak-gu,2023-01-09,29952.0,11620
Mapo-gu,2023-01-09,105759.0,11440
Dobong-gu,2023-01-09,119851.0,11320
Songpa-gu,2023-01-09,25502.0,11710
Gangnam-gu,2023-01-09,113233.0,11680
Geumcheon-gu,2023-01-09,107481.0,11545
Seodaemun-gu,2023-01-09,5704.0,11410
Jungnang-gu,2023-01-09,47274.0,11260
Seongdong-gu,2023-01-09,2398.0,11200
Dongjak-gu,2023-01-09,160674.0,11590
Eunpyeong-gu,2023-01-09,5038.0,11380
Guro-gu,2023-01-09,131137.0,11530
Jung-gu,2023-01-09,69116.0,11140
Seocho-gu,2023-01-09,60834.0,11650
Gangdong-gu,2023-01-09,105808.0,11740
Gwangjin-gu,2023-01-09,78256.0,11215
Yongsan-gu,2023-01-09,569.0,11170
Nowon-gu,2023-01-10,55632.0,11350
Jungnang-gu,2023-01-10,47348.0,11260
Jung-gu,2023-01-10,62420.0,11140
Geumcheon-gu,2023-01-10,109532.0,11545
Gangnam-gu,2023-01-10,121502.0,11680
Gangbuk-gu,2023-01-10,95106.0,11305
Songpa-gu,2023-01-10,26199.0,11710
Seodaemun-gu,2023-01-10,6523.0,11410
Yongsan-gu,2023-01-10,546.0,11170
Guro-gu,2023-01-10,133161.0,11530
Gwangjin-gu,2023-01-10,79381.0,11215
Seongdong-gu,2023-01-10,2802.0,11200
Jongno-gu,2023-01-10,16141.0,11110
Dongjak-gu,2023-01-10,158982.0,11590
Gangseo-gu,2023-01-10,57589.0,11500
Gwanak-gu,2023-01-10,30897.0,11620
Eunpyeong-gu,2023-01-10,5471.0,11380
Dobong-gu,2023-01-10,122900.0,11320
Gangdong-gu,2023-01-10,105250.0,11740
Seocho-gu,2023-01-10,63423.0,11650
Mapo-gu,2023-01-10,107475.0,11440
Yangcheon-gu,2023-01-10,107740.0,11470
Gangnam-gu,2023-01-11,123045.0,11680
Songpa-gu,2023-01-11,27102.0,11710
Gangbuk-gu,2023-01-11,95120.0,11305
Jung-gu,2023-01-11,61843.0,11140
Gwanak-gu,2023-01-11,31527.0,11620
Jongno-gu,2023-01-11,16096.0,11110
Jungnang-gu,2023-01-11,45187.0,11260
Yongsan-gu,2023-01-11,643.0,11170
Seodaemun-gu,2023-01-11,6120.0,11410
Dongjak-gu,2023-01-11,163858.0,11590
Seongdong-gu,2023-01-11,2779.0,11200
Dobong-gu,2023-01-11,123240.0,11320
Yangcheon-gu,2023-01-11,105755.0,11470
Seocho-gu,2023-01-11,62883.0,11650
Eunpyeong-gu,2023-01-11,5541.0,11380
Gangdong-gu,2023-01-11,104021.0,11740
Geumcheon-gu,2023-01-11,109289.0,11545
Gangseo-gu,2023-01-11,57983.0,11500
Mapo-gu,2023-01-11,106344.0,11440
Guro-gu,2023-01-11,132751.0,11530
Nowon-gu,2023-01-11,53126.0,11350
Gwangjin-gu,2023-01-11,79459.0,11215
Jungnang-gu,2023-01-12,45744.0,11260
Gangnam-gu,2023-01-12,121630.0,11680
Seodaemun-gu,2023-01-12,6172.0,11410
Songpa-gu,2023-01-12,26388.0,11710
Eunpyeong-gu,2023-01-12,5510.0,11380
Gwangjin-gu,2023-01-12,79038.0,11215
Seongdong-gu,2023-01-12,3355.0,11200
Dongjak-gu,2023-01-12,156232.0,11590
Dobong-gu,2023-01-12,115457.0,11320
Gangseo-gu,2023-01-12,55551.0,11500
Yangcheon-gu,2023-01-12,105422.0,11470
Nowon-gu,2023-01-12,51036.0,11350
Gangdong-gu,2023-01-12,102392.0,11740
Guro-gu,2023-01-12,128693.0,11530
Jung-gu,2023-01-12,64729.0,11140
Gwanak-gu,2023-01-12,30253.0,11620
Geumcheon-gu,2023-01-12,105291.0,11545
Yongsan-gu,2023-01-12,614.0,11170
Jongno-gu,2023-01-12,17937.0,11110
Mapo-gu,2023-01-12,102348.0,11440
Gangbuk-gu,2023-01-12,92624.0,11305
Seocho-gu,2023-01-12,65158.0,11650
Gwanak-gu,2023-01-13,32227.0,11620
