Gu,Date,Population,id
Gangbuk-gu,2023-06-20,93228.0,11305
Gangseo-gu,2023-06-20,48986.0,11500
Eunpyeong-gu,2023-06-20,6483.0,11380
Gangnam-gu,2023-06-20,197848.0,11680
Gangdong-gu,2023-06-20,98237.0,11740
Dongjak-gu,2023-06-20,165213.0,11590
Geumcheon-gu,2023-06-20,105546.0,11545
Yangcheon-gu,2023-06-20,137628.0,11470
Songpa-gu,2023-06-20,61936.0,11710
Dobong-gu,2023-06-20,104374.0,11320
Guro-gu,2023-06-20,129550.0,11530
Gwangjin-gu,2023-06-20,80656.0,11215
Jungnang-gu,2023-06-20,40377.0,11260
Seodaemun-gu,2023-06-20,7134.0,11410
Seocho-gu,2023-06-20,60994.0,11650
Jung-gu,2023-06-20,88059.0,11140
Yongsan-gu,2023-06-20,725.0,11170
Mapo-gu,2023-06-20,63732.0,11440
Jongno-gu,2023-06-20,24756.0,11110
Seongdong-gu,2023-06-20,4964.0,11200
Gwanak-gu,2023-06-20,75737.0,11620
Nowon-gu,2023-06-20,73230.0,11350
