"long","lat","order","hole","piece","id","group"
127.01681203,37.58117636,87,FALSE,"1",11110,"11110.1"
127.016881,37.58110034,88,FALSE,"1",11110,"11110.1"
127.01689374,37.58109329,89,FALSE,"1",11110,"11110.1"
127.01692486,37.5810381,90,FALSE,"1",11110,"11110.1"
127.01692769,37.58101642,91,FALSE,"1",11110,"11110.1"
127.0168684,37.58087678,92,FALSE,"1",11110,"11110.1"
127.01688308,37.58086157,93,FALSE,"1",11110,"11110.1"
127.01691668,37.58084383,94,FALSE,"1",11110,"11110.1"
127.01692358,37.58083933,95,FALSE,"1",11110,"11110.1"
127.01693985,37.58083059,96,FALSE,"1",11110,"11110.1"
127.0169582,37.58082036,97,FALSE,"1",11110,"11110.1"
127.0170343,37.58077793,98,FALSE,"1",11110,"11110.1"
127.01712159,37.58073113,99,FALSE,"1",11110,"11110.1"
127.0171383,37.58072217,100,FALSE,"1",11110,"11110.1"
127.01714609,37.58071428,101,FALSE,"1",11110,"11110.1"
127.01715988,37.58069542,102,FALSE,"1",11110,"11110.1"
127.01725414,37.58056054,103,FALSE,"1",11110,"11110.1"
127.01727127,37.58055517,104,FALSE,"1",11110,"11110.1"
127.01727731,37.58055265,105,FALSE,"1",11110,"11110.1"
127.01728525,37.58046847,106,FALSE,"1",11110,"11110.1"
127.01729466,37.58041489,107,FALSE,"1",11110,"11110.1"
127.01730592,37.58035077,108,FALSE,"1",11110,"11110.1"
127.01730183,37.58028207,109,FALSE,"1",11110,"11110.1"
127.01730167,37.58027636,110,FALSE,"1",11110,"11110.1"
127.01730044,37.58026502,111,FALSE,"1",11110,"11110.1"
127.0173036,37.580248,112,FALSE,"1",11110,"11110.1"
127.01732102,37.58024217,113,FALSE,"1",11110,"11110.1"
127.01732801,37.58023984,114,FALSE,"1",11110,"11110.1"
127.01733331,37.58023758,115,FALSE,"1",11110,"11110.1"
127.01733919,37.58022148,116,FALSE,"1",11110,"11110.1"
127.01734904,37.5801945,117,FALSE,"1",11110,"11110.1"
127.01745425,37.5799943,118,FALSE,"1",11110,"11110.1"
127.0174875,37.57992475,119,FALSE,"1",11110,"11110.1"
127.01752508,37.57986145,120,FALSE,"1",11110,"11110.1"
127.01753365,37.57984703,121,FALSE,"1",11110,"11110.1"
127.0175504,37.57980219,122,FALSE,"1",11110,"11110.1"
