Gu,Date,Population,id
Nowon-gu,2023-06-17,71849.0,11350
Gangnam-gu,2023-06-17,201770.0,11680
Seocho-gu,2023-06-17,64450.0,11650
Seodaemun-gu,2023-06-17,7213.0,11410
Geumcheon-gu,2023-06-17,101621.0,11545
Gwanak-gu,2023-06-17,79572.0,11620
Yangcheon-gu,2023-06-17,138963.0,11470
Mapo-gu,2023-06-17,67422.0,11440
Dobong-gu,2023-06-17,107869.0,11320
Guro-gu,2023-06-17,130767.0,11530
Seongdong-gu,2023-06-17,11049.0,11200
Dongjak-gu,2023-06-17,166804.0,11590
Gangbuk-gu,2023-06-17,94774.0,11305
Jungnang-gu,2023-06-17,41317.0,11260
Songpa-gu,2023-06-17,61674.0,11710
Eunpyeong-gu,2023-06-17,6347.0,11380
Gangseo-gu,2023-06-17,42617.0,11500
Yongsan-gu,2023-06-17,234.0,11170
Gangdong-gu,2023-06-17,98595.0,11740
Jongno-gu,2023-06-17,37750.0,11110
Gwangjin-gu,2023-06-17,83499.0,11215
Jung-gu,2023-06-17,103216.0,11140
