자치구,측정날짜,방문자수
Mapo-gu,2023-01-05,103084
Jungnang-gu,2023-01-05,45183
Gwangjin-gu,2023-01-05,75593
Dobong-gu,2023-01-05,119399
Nowon-gu,2023-01-05,53673
Guro-gu,2023-01-05,131873
Gangbuk-gu,2023-01-05,91631
Seocho-gu,2023-01-05,60489
Seongdong-gu,2023-01-05,2649
Dongjak-gu,2023-01-05,145339
Yongsan-gu,2023-01-05,600
Gangdong-gu,2023-01-05,101011
Yangcheon-gu,2023-01-05,102649
Seodaemun-gu,2023-01-05,5947
Mapo-gu,2023-01-06,108631
Gwangjin-gu,2023-01-06,80081
Gangnam-gu,2023-01-06,125998
Dobong-gu,2023-01-06,123182
Seodaemun-gu,2023-01-06,6096
Songpa-gu,2023-01-06,29781
Jung-gu,2023-01-06,75265
Jongno-gu,2023-01-06,13207
Gangbuk-gu,2023-01-06,95355
Yangcheon-gu,2023-01-06,106821
Eunpyeong-gu,2023-01-06,5133
Jungnang-gu,2023-01-06,47195
Gangdong-gu,2023-01-06,103608
Nowon-gu,2023-01-06,53339
Gangseo-gu,2023-01-06,60419
Seoul_Grand_Park,2023-01-06,5982
Yongsan-gu,2023-01-06,607
Guro-gu,2023-01-06,134780
Dongjak-gu,2023-01-06,159813
Geumcheon-gu,2023-01-06,107496
Seocho-gu,2023-01-06,65153
Seongdong-gu,2023-01-06,2906
Gwanak-gu,2023-01-06,32621
Seocho-gu,2023-01-07,62632
Mapo-gu,2023-01-07,110153
Jongno-gu,2023-01-07,12562
Eunpyeong-gu,2023-01-07,4627
Yangcheon-gu,2023-01-07,102427
Gangdong-gu,2023-01-07,101977
Dongjak-gu,2023-01-07,157122
Seoul_Grand_Park,2023-01-07,9056
Gangseo-gu,2023-01-07,53639
Dobong-gu,2023-01-07,119201
Yongsan-gu,2023-01-07,685
Nowon-gu,2023-01-07,51884
Seodaemun-gu,2023-01-07,5214
Gwangjin-gu,2023-01-07,79547
Gangnam-gu,2023-01-07,121774
Jungnang-gu,2023-01-07,45357
Guro-gu,2023-01-07,129430
Geumcheon-gu,2023-01-07,95046
Songpa-gu,2023-01-07,27836
Seongdong-gu,2023-01-07,4666
Gangbuk-gu,2023-01-07,91886
Gwanak-gu,2023-01-07,33861
Jung-gu,2023-01-07,76346
Seoul_Grand_Park,2023-01-08,11190
Dobong-gu,2023-01-08,108001
Gwangjin-gu,2023-01-08,72100
Guro-gu,2023-01-08,119787
Gangseo-gu,2023-01-08,43960
Gangdong-gu,2023-01-08,90901
Gangbuk-gu,2023-01-08,80246
Seocho-gu,2023-01-08,36377
Nowon-gu,2023-01-08,49350
Mapo-gu,2023-01-08,102001
Yangcheon-gu,2023-01-08,92256
Dongjak-gu,2023-01-08,140844
Seodaemun-gu,2023-01-08,5075
Songpa-gu,2023-01-08,25890
Seongdong-gu,2023-01-08,4062
Jung-gu,2023-01-08,69536
Eunpyeong-gu,2023-01-08,3586
Gangnam-gu,2023-01-08,97513
Jungnang-gu,2023-01-08,43905
Jongno-gu,2023-01-08,15801
Gwanak-gu,2023-01-08,30342
Yongsan-gu,2023-01-08,612
Geumcheon-gu,2023-01-08,81375
Jongno-gu,2023-01-09,15938
Gangbuk-gu,2023-01-09,94096
Nowon-gu,2023-01-09,54655
Yangcheon-gu,2023-01-09,104169
Gangseo-gu,2023-01-09,56552
Gwanak-gu,2023-01-09,29952
Mapo-gu,2023-01-09,105759
Dobong-gu,2023-01-09,119851
Songpa-gu,2023-01-09,25502
Gangnam-gu,2023-01-09,113233
Geumcheon-gu,2023-01-09,107481
Seodaemun-gu,2023-01-09,5704
Jungnang-gu,2023-01-09,47274
Seongdong-gu,2023-01-09,2398
Dongjak-gu,2023-01-09,160674
Eunpyeong-gu,2023-01-09,5038
Guro-gu,2023-01-09,131137
Jung-gu,2023-01-09,69116
Seocho-gu,2023-01-09,60834
Gangdong-gu,2023-01-09,105808
Gwangjin-gu,2023-01-09,78256
Yongsan-gu,2023-01-09,569
Seoul_Grand_Park,2023-01-09,6675
Nowon-gu,2023-01-10,55632
Jungnang-gu,2023-01-10,47348
Jung-gu,2023-01-10,62420
Geumcheon-gu,2023-01-10,109532
Gangnam-gu,2023-01-10,121502
Gangbuk-gu,2023-01-10,95106
Songpa-gu,2023-01-10,26199
Seodaemun-gu,2023-01-10,6523
Yongsan-gu,2023-01-10,546
Guro-gu,2023-01-10,133161
Gwangjin-gu,2023-01-10,79381
Seongdong-gu,2023-01-10,2802
Jongno-gu,2023-01-10,16141
Dongjak-gu,2023-01-10,158982
Gangseo-gu,2023-01-10,57589
Gwanak-gu,2023-01-10,30897
Eunpyeong-gu,2023-01-10,5471
Dobong-gu,2023-01-10,122900
Seoul_Grand_Park,2023-01-10,7522
Gangdong-gu,2023-01-10,105250
Seocho-gu,2023-01-10,63423
Mapo-gu,2023-01-10,107475
Yangcheon-gu,2023-01-10,107740
Gangnam-gu,2023-01-11,123045
Songpa-gu,2023-01-11,27102
Gangbuk-gu,2023-01-11,95120
Jung-gu,2023-01-11,61843
Gwanak-gu,2023-01-11,31527
Jongno-gu,2023-01-11,16096
Jungnang-gu,2023-01-11,45187
Yongsan-gu,2023-01-11,643
Seodaemun-gu,2023-01-11,6120
Dongjak-gu,2023-01-11,163858
Seongdong-gu,2023-01-11,2779
Dobong-gu,2023-01-11,123240
Yangcheon-gu,2023-01-11,105755
Seocho-gu,2023-01-11,62883
Eunpyeong-gu,2023-01-11,5541
Gangdong-gu,2023-01-11,104021
Geumcheon-gu,2023-01-11,109289
Gangseo-gu,2023-01-11,57983
Mapo-gu,2023-01-11,106344
Guro-gu,2023-01-11,132751
Nowon-gu,2023-01-11,53126
Gwangjin-gu,2023-01-11,79459
Seoul_Grand_Park,2023-01-11,7048
Jungnang-gu,2023-01-12,45744
Seoul_Grand_Park,2023-01-12,8431
Gangnam-gu,2023-01-12,121630
Seodaemun-gu,2023-01-12,6172
Songpa-gu,2023-01-12,26388
Eunpyeong-gu,2023-01-12,5510
Gwangjin-gu,2023-01-12,79038
Seongdong-gu,2023-01-12,3355
Dongjak-gu,2023-01-12,156232
Dobong-gu,2023-01-12,115457
Gangseo-gu,2023-01-12,55551
Yangcheon-gu,2023-01-12,105422
Nowon-gu,2023-01-12,51036
Gangdong-gu,2023-01-12,102392
Guro-gu,2023-01-12,128693
Jung-gu,2023-01-12,64729
Gwanak-gu,2023-01-12,30253
Geumcheon-gu,2023-01-12,105291
Yongsan-gu,2023-01-12,614
Jongno-gu,2023-01-12,17937
Mapo-gu,2023-01-12,102348
Gangbuk-gu,2023-01-12,92624
Seocho-gu,2023-01-12,65158
Gwanak-gu,2023-01-13,32227
Seongdong-gu,2023-01-13,3256
Seocho-gu,2023-01-13,70355
Gangnam-gu,2023-01-13,127205
Guro-gu,2023-01-13,129762
Gangdong-gu,2023-01-13,101214
Seoul_Grand_Park,2023-01-13,6978
Songpa-gu,2023-01-13,25853
Nowon-gu,2023-01-13,50662
Gangseo-gu,2023-01-13,57537
Dobong-gu,2023-01-13,116347
Gwangjin-gu,2023-01-13,80699
Yongsan-gu,2023-01-13,583
Yangcheon-gu,2023-01-13,102378
Geumcheon-gu,2023-01-13,103599
Seodaemun-gu,2023-01-13,6171
Dongjak-gu,2023-01-13,164641
Jongno-gu,2023-01-13,21807
Mapo-gu,2023-01-13,105244
Eunpyeong-gu,2023-01-13,6081
Gangbuk-gu,2023-01-13,91713
Jungnang-gu,2023-01-13,44278
Jung-gu,2023-01-13,72557
Gwanak-gu,2023-01-14,34745
Seodaemun-gu,2023-01-14,5932
Gangdong-gu,2023-01-14,101726
Seoul_Grand_Park,2023-01-14,16328
Yangcheon-gu,2023-01-14,103534
Eunpyeong-gu,2023-01-14,5369
Mapo-gu,2023-01-14,111649
Gwangjin-gu,2023-01-14,82620
Dobong-gu,2023-01-14,116986
Gangnam-gu,2023-01-14,126128
Geumcheon-gu,2023-01-14,94639
Dongjak-gu,2023-01-14,160520
Seocho-gu,2023-01-14,61385
Yongsan-gu,2023-01-14,778
Seongdong-gu,2023-01-14,5316
Jungnang-gu,2023-01-14,43475
Jung-gu,2023-01-14,75706
Gangseo-gu,2023-01-14,52660
Jongno-gu,2023-01-14,24399
Nowon-gu,2023-01-14,52542
Guro-gu,2023-01-14,128009
Gangbuk-gu,2023-01-14,91902
Songpa-gu,2023-01-14,27638
Gangdong-gu,2023-01-15,93528
Mapo-gu,2023-01-15,105501
Gangbuk-gu,2023-01-15,82878
Yangcheon-gu,2023-01-15,93650
Dongjak-gu,2023-01-15,129501
Jung-gu,2023-01-15,58074
Jongno-gu,2023-01-15,6906
Seongdong-gu,2023-01-15,3338
Yongsan-gu,2023-01-15,614
Seocho-gu,2023-01-15,32668
Seodaemun-gu,2023-01-15,4392
Jungnang-gu,2023-01-15,42651
Gangnam-gu,2023-01-15,95619
Seoul_Grand_Park,2023-01-15,15440
Nowon-gu,2023-01-15,49908
Gwangjin-gu,2023-01-15,72301
Eunpyeong-gu,2023-01-15,3443
Guro-gu,2023-01-15,121496
Geumcheon-gu,2023-01-15,83069
Dobong-gu,2023-01-15,112657
Songpa-gu,2023-01-15,25199
Gangseo-gu,2023-01-15,45276
Gwanak-gu,2023-01-15,32191
Gangnam-gu,2023-01-16,120680
Seongdong-gu,2023-01-16,1982
Gwanak-gu,2023-01-16,32444
Gwangjin-gu,2023-01-16,78622
Gangbuk-gu,2023-01-16,91079
Jung-gu,2023-01-16,60904
Gangseo-gu,2023-01-16,56385
Seoul_Grand_Park,2023-01-16,6339
Geumcheon-gu,2023-01-16,101474
Eunpyeong-gu,2023-01-16,4766
Songpa-gu,2023-01-16,27493
Mapo-gu,2023-01-16,107160
Dongjak-gu,2023-01-16,118158
Jongno-gu,2023-01-16,4988
Dobong-gu,2023-01-16,118025
Seocho-gu,2023-01-16,59142
Guro-gu,2023-01-16,131418
Seodaemun-gu,2023-01-16,5707
Yongsan-gu,2023-01-16,491
Gangdong-gu,2023-01-16,101469
Jungnang-gu,2023-01-16,45365
Nowon-gu,2023-01-16,54540
Yangcheon-gu,2023-01-16,105890
Gangdong-gu,2023-01-17,102908
Eunpyeong-gu,2023-01-17,4908
Jungnang-gu,2023-01-17,46222
Yongsan-gu,2023-01-17,552
Gwangjin-gu,2023-01-17,80779
Geumcheon-gu,2023-01-17,104425
Seoul_Grand_Park,2023-01-17,5940
Gangbuk-gu,2023-01-17,90530
Seodaemun-gu,2023-01-17,6358
Gangnam-gu,2023-01-17,119494
Dobong-gu,2023-01-17,119198
Nowon-gu,2023-01-17,53323
Songpa-gu,2023-01-17,26084
Yangcheon-gu,2023-01-17,107585
Dongjak-gu,2023-01-17,124159
Gangseo-gu,2023-01-17,57517
Guro-gu,2023-01-17,132795
Jongno-gu,2023-01-17,4414
Gwanak-gu,2023-01-17,31674
Seocho-gu,2023-01-17,60449
Mapo-gu,2023-01-17,109125
Jung-gu,2023-01-17,56773
Seongdong-gu,2023-01-17,2548
Seodaemun-gu,2023-01-18,6679
Guro-gu,2023-01-18,138168
Eunpyeong-gu,2023-01-18,4835
Jungnang-gu,2023-01-18,48630
Yongsan-gu,2023-01-18,580
Seocho-gu,2023-01-18,55267
Jongno-gu,2023-01-18,4786
Dongjak-gu,2023-01-18,137858
Seoul_Grand_Park,2023-01-18,6243
Gangnam-gu,2023-01-18,126621
Yangcheon-gu,2023-01-18,111855
Gangseo-gu,2023-01-18,58487
Geumcheon-gu,2023-01-18,107200
Songpa-gu,2023-01-18,27087
Mapo-gu,2023-01-18,113158
Jung-gu,2023-01-18,57995
Seongdong-gu,2023-01-18,2707
Gangdong-gu,2023-01-18,107456
Dobong-gu,2023-01-18,124366
Gwangjin-gu,2023-01-18,84160
Gangbuk-gu,2023-01-18,95715
Nowon-gu,2023-01-18,55884
Gwanak-gu,2023-01-18,32539
Songpa-gu,2023-01-19,26723
Gangnam-gu,2023-01-19,125453
Jongno-gu,2023-01-19,8424
Seongdong-gu,2023-01-19,2488
Seoul_Grand_Park,2023-01-19,6022
Eunpyeong-gu,2023-01-19,4994
Seodaemun-gu,2023-01-19,7176
Dobong-gu,2023-01-19,122766
Gwangjin-gu,2023-01-19,85717
Gangdong-gu,2023-01-19,107435
Gangseo-gu,2023-01-19,57939
Yangcheon-gu,2023-01-19,113754
Nowon-gu,2023-01-19,55942
Geumcheon-gu,2023-01-19,106849
Mapo-gu,2023-01-19,109944
Jung-gu,2023-01-19,53081
Gwanak-gu,2023-01-19,32071
Yongsan-gu,2023-01-19,524
Seocho-gu,2023-01-19,42006
Gangbuk-gu,2023-01-19,99354
Guro-gu,2023-01-19,138582
Dongjak-gu,2023-01-19,147385
Jungnang-gu,2023-01-19,48314
Songpa-gu,2023-01-20,26185
Dongjak-gu,2023-01-20,130174
Guro-gu,2023-01-20,149662
Dobong-gu,2023-01-20,127544
Yangcheon-gu,2023-01-20,116799
Seodaemun-gu,2023-01-20,7325
Gwangjin-gu,2023-01-20,91772
Geumcheon-gu,2023-01-20,103625
Gangseo-gu,2023-01-20,58121
Mapo-gu,2023-01-20,109711
Gangdong-gu,2023-01-20,113343
Nowon-gu,2023-01-20,56276
Jungnang-gu,2023-01-20,51117
Jung-gu,2023-01-20,54451
Seocho-gu,2023-01-20,42466
Seoul_Grand_Park,2023-01-20,4858
Eunpyeong-gu,2023-01-20,4549
Gangbuk-gu,2023-01-20,101224
Jongno-gu,2023-01-20,4299
Yongsan-gu,2023-01-20,486
Gangnam-gu,2023-01-20,126726
Seongdong-gu,2023-01-20,2607
Gwanak-gu,2023-01-20,33325
Jung-gu,2023-01-21,63474
Guro-gu,2023-01-21,139864
Yongsan-gu,2023-01-21,453
Gangseo-gu,2023-01-21,46295
Seocho-gu,2023-01-21,22604
Geumcheon-gu,2023-01-21,79952
Seongdong-gu,2023-01-21,3005
Gwangjin-gu,2023-01-21,90763
Seoul_Grand_Park,2023-01-21,6847
Gangbuk-gu,2023-01-21,101218
Jongno-gu,2023-01-21,5548
Gwanak-gu,2023-01-21,31097
Dobong-gu,2023-01-21,128716
Gangnam-gu,2023-01-21,89943
Yangcheon-gu,2023-01-21,109878
Jungnang-gu,2023-01-21,54468
Gangdong-gu,2023-01-21,106689
Nowon-gu,2023-01-21,56344
Eunpyeong-gu,2023-01-21,3310
Dongjak-gu,2023-01-21,133172
Songpa-gu,2023-01-21,21002
Seodaemun-gu,2023-01-21,6752
Mapo-gu,2023-01-21,115594
Gwangjin-gu,2023-01-22,60361
Seoul_Grand_Park,2023-01-22,9276
Seodaemun-gu,2023-01-22,2784
Geumcheon-gu,2023-01-22,75566
Mapo-gu,2023-01-22,88006
Jung-gu,2023-01-22,60326
Gangseo-gu,2023-01-22,39844
Nowon-gu,2023-01-22,48731
Eunpyeong-gu,2023-01-22,2733
Gangdong-gu,2023-01-22,79374
Gwanak-gu,2023-01-22,24676
Seocho-gu,2023-01-22,13016
Gangbuk-gu,2023-01-22,77197
Yangcheon-gu,2023-01-22,86734
Yongsan-gu,2023-01-22,510
Dobong-gu,2023-01-22,109944
Gangnam-gu,2023-01-22,68072
Songpa-gu,2023-01-22,23287
Jongno-gu,2023-01-22,6721
Seongdong-gu,2023-01-22,2080
Dongjak-gu,2023-01-22,121289
Guro-gu,2023-01-22,113284
Jungnang-gu,2023-01-22,44075
Yongsan-gu,2023-01-23,683
Dongjak-gu,2023-01-23,122246
Dobong-gu,2023-01-23,113624
Mapo-gu,2023-01-23,103798
Guro-gu,2023-01-23,118120
Geumcheon-gu,2023-01-23,77933
Gwangjin-gu,2023-01-23,65736
Songpa-gu,2023-01-23,26480
Gangseo-gu,2023-01-23,42611
Seongdong-gu,2023-01-23,3985
Gangnam-gu,2023-01-23,79040
Nowon-gu,2023-01-23,51523
Jung-gu,2023-01-23,74584
Seocho-gu,2023-01-23,20489
Jungnang-gu,2023-01-23,43256
Gwanak-gu,2023-01-23,27048
Gangbuk-gu,2023-01-23,79682
Eunpyeong-gu,2023-01-23,3046
Seoul_Grand_Park,2023-01-23,18063
Yangcheon-gu,2023-01-23,91183
Seodaemun-gu,2023-01-23,3784
Gangdong-gu,2023-01-23,89880
Jongno-gu,2023-01-23,8349
Seocho-gu,2023-01-24,15062
Seodaemun-gu,2023-01-24,2517
Dobong-gu,2023-01-24,107845
Gwanak-gu,2023-01-24,23892
Yangcheon-gu,2023-01-24,81223
Jongno-gu,2023-01-24,3441
Songpa-gu,2023-01-24,2429
Nowon-gu,2023-01-24,48542
Jungnang-gu,2023-01-24,40636
Seoul_Grand_Park,2023-01-24,3536
Gangnam-gu,2023-01-24,78706
Eunpyeong-gu,2023-01-24,1732
Gwangjin-gu,2023-01-24,60330
Yongsan-gu,2023-01-24,211
Gangbuk-gu,2023-01-24,71405
Jung-gu,2023-01-24,35564
Guro-gu,2023-01-24,111300
Gangdong-gu,2023-01-24,83366
Geumcheon-gu,2023-01-24,75580
Seongdong-gu,2023-01-24,1580
Gangseo-gu,2023-01-24,38961
Dongjak-gu,2023-01-24,53597
Mapo-gu,2023-01-24,85364
Gwangjin-gu,2023-01-25,68589
Mapo-gu,2023-01-25,91828
Gangseo-gu,2023-01-25,51199
Yangcheon-gu,2023-01-25,88655
Jongno-gu,2023-01-25,3937
Jungnang-gu,2023-01-25,41584
Dongjak-gu,2023-01-25,84839
Yongsan-gu,2023-01-25,400
Jung-gu,2023-01-25,48144
Dobong-gu,2023-01-25,110266
Eunpyeong-gu,2023-01-25,3839
Gangbuk-gu,2023-01-25,80666
Seodaemun-gu,2023-01-25,5020
Geumcheon-gu,2023-01-25,97998
Seongdong-gu,2023-01-25,1878
Seocho-gu,2023-01-25,30723
Songpa-gu,2023-01-25,8648
Gangdong-gu,2023-01-25,94634
Guro-gu,2023-01-25,118267
Nowon-gu,2023-01-25,50096
Gwanak-gu,2023-01-25,26660
Seoul_Grand_Park,2023-01-25,2755
Gangnam-gu,2023-01-25,104168
Jongno-gu,2023-01-26,4027
Jungnang-gu,2023-01-26,18229
Seoul_Grand_Park,2023-01-26,4708
Guro-gu,2023-01-26,51089
Gangnam-gu,2023-01-26,77911
Yongsan-gu,2023-01-26,461
Seongdong-gu,2023-01-26,2696
Jung-gu,2023-01-26,59861
Dobong-gu,2023-01-26,51925
Dongjak-gu,2023-01-26,34941
Songpa-gu,2023-01-26,1905
Gangbuk-gu,2023-01-26,36397
Gwanak-gu,2023-01-26,15058
Geumcheon-gu,2023-01-26,42368
Seocho-gu,2023-01-26,35311
Eunpyeong-gu,2023-01-26,4082
Seodaemun-gu,2023-01-26,4654
Nowon-gu,2023-01-26,22246
Mapo-gu,2023-01-26,38419
Gangseo-gu,2023-01-26,30866
Yangcheon-gu,2023-01-26,44887
Gangdong-gu,2023-01-26,48163
Gwangjin-gu,2023-01-26,38960
Geumcheon-gu,2023-01-27,68899
Jung-gu,2023-01-27,66133
Gwanak-gu,2023-01-27,23159
Mapo-gu,2023-01-27,77258
Seocho-gu,2023-01-27,39686
Jungnang-gu,2023-01-27,29353
Jongno-gu,2023-01-27,4575
Nowon-gu,2023-01-27,35131
Gwangjin-gu,2023-01-27,60993
Guro-gu,2023-01-27,87266
Gangseo-gu,2023-01-27,43363
Dobong-gu,2023-01-27,76255
Seongdong-gu,2023-01-27,2761
Gangdong-gu,2023-01-27,39341
Songpa-gu,2023-01-27,10684
Seodaemun-gu,2023-01-27,5152
Yangcheon-gu,2023-01-27,54170
Eunpyeong-gu,2023-01-27,4293
Gangbuk-gu,2023-01-27,62399
Yongsan-gu,2023-01-27,552
Seoul_Grand_Park,2023-01-27,4663
Dongjak-gu,2023-01-27,78543
Gangnam-gu,2023-01-27,104752
Jung-gu,2023-01-28,69880
Yangcheon-gu,2023-01-28,100266
Gangbuk-gu,2023-01-28,86828
Yongsan-gu,2023-01-28,786
Gwanak-gu,2023-01-28,32217
Jongno-gu,2023-01-28,5882
Seocho-gu,2023-01-28,42618
Gwangjin-gu,2023-01-28,81112
Nowon-gu,2023-01-28,53027
Songpa-gu,2023-01-28,18921
Seodaemun-gu,2023-01-28,5235
Gangnam-gu,2023-01-28,122457
Dongjak-gu,2023-01-28,105150
Geumcheon-gu,2023-01-28,94577
Guro-gu,2023-01-28,125303
Seoul_Grand_Park,2023-01-28,10613
Jungnang-gu,2023-01-28,46091
Eunpyeong-gu,2023-01-28,4550
Dobong-gu,2023-01-28,116660
Mapo-gu,2023-01-28,118932
Seongdong-gu,2023-01-28,4610
Gangdong-gu,2023-01-28,72901
Gangseo-gu,2023-01-28,52019
Mapo-gu,2023-01-29,105304
Seongdong-gu,2023-01-29,4635
Gangnam-gu,2023-01-29,94870
Seoul_Grand_Park,2023-01-29,13544
Jongno-gu,2023-01-29,6106
Gangseo-gu,2023-01-29,42454
Seocho-gu,2023-01-29,28886
Songpa-gu,2023-01-29,24935
Yongsan-gu,2023-01-29,674
Gwanak-gu,2023-01-29,29375
Dongjak-gu,2023-01-29,118386
Dobong-gu,2023-01-29,106567
Geumcheon-gu,2023-01-29,80130
Gwangjin-gu,2023-01-29,69160
Yangcheon-gu,2023-01-29,90048
Jung-gu,2023-01-29,63168
Jungnang-gu,2023-01-29,41058
Gangdong-gu,2023-01-29,64868
Eunpyeong-gu,2023-01-29,3725
Guro-gu,2023-01-29,113030
Gangbuk-gu,2023-01-29,75626
Nowon-gu,2023-01-29,48290
Seodaemun-gu,2023-01-29,4844
Seoul_Grand_Park,2023-01-30,6862
Gangseo-gu,2023-01-30,59149
Seocho-gu,2023-01-30,40844
Dobong-gu,2023-01-30,123416
Seongdong-gu,2023-01-30,2914
Eunpyeong-gu,2023-01-30,5278
Geumcheon-gu,2023-01-30,109363
Seodaemun-gu,2023-01-30,5947
Gangdong-gu,2023-01-30,77868
Guro-gu,2023-01-30,133210
Gangbuk-gu,2023-01-30,89942
Yangcheon-gu,2023-01-30,109667
Gwanak-gu,2023-01-30,31166
Jung-gu,2023-01-30,59293
Dongjak-gu,2023-01-30,137763
Gangnam-gu,2023-01-30,116231
Jungnang-gu,2023-01-30,45611
Mapo-gu,2023-01-30,111350
Gwangjin-gu,2023-01-30,78512
Jongno-gu,2023-01-30,4849
Yongsan-gu,2023-01-30,589
Songpa-gu,2023-01-30,25567
Nowon-gu,2023-01-30,55929
Dongjak-gu,2023-01-31,146058
Gangbuk-gu,2023-01-31,87731
Guro-gu,2023-01-31,127478
Gangnam-gu,2023-01-31,117873
Songpa-gu,2023-01-31,25633
Seongdong-gu,2023-01-31,3386
Geumcheon-gu,2023-01-31,104894
Eunpyeong-gu,2023-01-31,5246
Dobong-gu,2023-01-31,118401
Seodaemun-gu,2023-01-31,6367
Gangdong-gu,2023-01-31,75094
Gwangjin-gu,2023-01-31,81087
Jung-gu,2023-01-31,65124
Yangcheon-gu,2023-01-31,107735
Nowon-gu,2023-01-31,54702
Jungnang-gu,2023-01-31,44089
Gangseo-gu,2023-01-31,59076
Gwanak-gu,2023-01-31,30031
Seoul_Grand_Park,2023-01-31,7716
Mapo-gu,2023-01-31,104979
Yongsan-gu,2023-01-31,541
Seocho-gu,2023-01-31,43350
Jongno-gu,2023-01-31,12094
Jungnang-gu,2023-02-02,28463
Seoul_Grand_Park,2023-02-02,5055
Yangcheon-gu,2023-02-02,71331
Gangnam-gu,2023-02-02,86815
Gangdong-gu,2023-02-02,52858
Jongno-gu,2023-02-02,4253
Gwanak-gu,2023-02-02,21147
Mapo-gu,2023-02-02,79099
Nowon-gu,2023-02-02,35525
Dongjak-gu,2023-02-02,93279
Songpa-gu,2023-02-02,17105
Geumcheon-gu,2023-02-02,70481
Seongdong-gu,2023-02-02,2816
Gangseo-gu,2023-02-02,39618
Gwangjin-gu,2023-02-02,56334
Seodaemun-gu,2023-02-02,5085
Seocho-gu,2023-02-02,34490
Eunpyeong-gu,2023-02-02,4447
Guro-gu,2023-02-02,87608
Jung-gu,2023-02-02,53173
Dobong-gu,2023-02-02,74334
Yongsan-gu,2023-02-02,475
Gangbuk-gu,2023-02-02,61059
Jungnang-gu,2023-02-03,46774
Gangbuk-gu,2023-02-03,91931
