자치구,측정날짜,방문자수
Dobong-gu,2023-01-01,832
Eunpyeong-gu,2023-01-01,8
Yangcheon-gu,2023-01-01,555
Gangbuk-gu,2023-01-01,457
Songpa-gu,2023-01-01,122
Gangdong-gu,2023-01-01,510
Seoul_Grand_Park,2023-01-01,0
Gangnam-gu,2023-01-01,443
Gangseo-gu,2023-01-01,234
Seongdong-gu,2023-01-01,5
Geumcheon-gu,2023-01-01,540
Seodaemun-gu,2023-01-01,4
Guro-gu,2023-01-01,728
Seocho-gu,2023-01-01,77
Gwanak-gu,2023-01-01,209
Nowon-gu,2023-01-01,380
Gwangjin-gu,2023-01-01,368
Mapo-gu,2023-01-01,281
Jongno-gu,2023-01-01,10
Jung-gu,2023-01-01,195
Yongsan-gu,2023-01-01,0
Dongjak-gu,2023-01-01,646
Jungnang-gu,2023-01-01,277
Eunpyeong-gu,2023-01-02,4700
Seocho-gu,2023-01-02,54284
Gwanak-gu,2023-01-02,28760
Dobong-gu,2023-01-02,120956
Jung-gu,2023-01-02,72800
Guro-gu,2023-01-02,131746
Yongsan-gu,2023-01-02,483
Gangnam-gu,2023-01-02,106075
Jongno-gu,2023-01-02,5845
Geumcheon-gu,2023-01-02,101304
Seoul_Grand_Park,2023-01-02,5041
Gangseo-gu,2023-01-02,53630
Seongdong-gu,2023-01-02,1834
Mapo-gu,2023-01-02,98101
Dongjak-gu,2023-01-02,120539
Jungnang-gu,2023-01-02,44574
Gwangjin-gu,2023-01-02,73635
Yangcheon-gu,2023-01-02,98736
Nowon-gu,2023-01-02,51635
Gangdong-gu,2023-01-02,99662
Songpa-gu,2023-01-02,23674
Seodaemun-gu,2023-01-02,5626
Gangbuk-gu,2023-01-02,89343
Mapo-gu,2023-01-03,100446
Seocho-gu,2023-01-03,56720
Gwanak-gu,2023-01-03,29614
Guro-gu,2023-01-03,130220
Nowon-gu,2023-01-03,51457
Gangbuk-gu,2023-01-03,88803
Yongsan-gu,2023-01-03,487
Songpa-gu,2023-01-03,24305
Dobong-gu,2023-01-03,118727
Geumcheon-gu,2023-01-03,107623
Gangdong-gu,2023-01-03,99658
Seoul_Grand_Park,2023-01-03,5845
Dongjak-gu,2023-01-03,123901
Eunpyeong-gu,2023-01-03,4323
Seongdong-gu,2023-01-03,2153
Yangcheon-gu,2023-01-03,100400
Seodaemun-gu,2023-01-03,5692
Gangnam-gu,2023-01-03,109680
Jongno-gu,2023-01-03,5123
Gwangjin-gu,2023-01-03,76371
Jung-gu,2023-01-03,72629
Jungnang-gu,2023-01-03,45286
Gangseo-gu,2023-01-03,53613
Mapo-gu,2023-01-04,97190
Yongsan-gu,2023-01-04,559
Seodaemun-gu,2023-01-04,6050
Seongdong-gu,2023-01-04,2482
Seoul_Grand_Park,2023-01-04,6303
Gwanak-gu,2023-01-04,29538
Yangcheon-gu,2023-01-04,100275
Gangdong-gu,2023-01-04,97979
Guro-gu,2023-01-04,127810
Eunpyeong-gu,2023-01-04,4879
Dongjak-gu,2023-01-04,142439
Dobong-gu,2023-01-04,114711
Songpa-gu,2023-01-04,25816
Seocho-gu,2023-01-04,58724
Gangbuk-gu,2023-01-04,88710
Jung-gu,2023-01-04,73077
Geumcheon-gu,2023-01-04,104981
Jungnang-gu,2023-01-04,45520
Gangseo-gu,2023-01-04,54270
Nowon-gu,2023-01-04,54033
Gangnam-gu,2023-01-04,113975
Jongno-gu,2023-01-04,5450
Gwangjin-gu,2023-01-04,75125
Gwanak-gu,2023-01-05,30497
Geumcheon-gu,2023-01-05,108462
Jongno-gu,2023-01-05,6803
Seoul_Grand_Park,2023-01-05,6058
Gangnam-gu,2023-01-05,112966
Gangseo-gu,2023-01-05,56523
Jung-gu,2023-01-05,72064
Eunpyeong-gu,2023-01-05,4817
Songpa-gu,2023-01-05,25661
