자치구,측정날짜,방문자수
Eunpyeong-gu,2023-04-18,2119
Gangbuk-gu,2023-04-18,1816
Mapo-gu,2023-04-18,894
Yongsan-gu,2023-04-19,138
Jung-gu,2023-04-19,28276
Seoul_Grand_Park,2023-04-19,7617
Gwanak-gu,2023-04-19,1972
Gangdong-gu,2023-04-19,4373
Mapo-gu,2023-04-19,1036
Eunpyeong-gu,2023-04-19,2529
Songpa-gu,2023-04-19,2072
Gangseo-gu,2023-04-19,5423
Yangcheon-gu,2023-04-19,2788
Seodaemun-gu,2023-04-19,2892
Seocho-gu,2023-04-19,18729
Gangnam-gu,2023-04-19,16580
Seongdong-gu,2023-04-19,1926
Gwangjin-gu,2023-04-19,7792
Jongno-gu,2023-04-19,4286
Gangbuk-gu,2023-04-19,2659
Seoul_Grand_Park,2023-04-20,4960
Gangdong-gu,2023-04-20,5096
Gwanak-gu,2023-04-20,2222
Eunpyeong-gu,2023-04-20,2404
Gangseo-gu,2023-04-20,5643
Jung-gu,2023-04-20,28858
Yangcheon-gu,2023-04-20,2494
Mapo-gu,2023-04-20,1264
Songpa-gu,2023-04-20,1363
Gwangjin-gu,2023-04-20,7701
Gangbuk-gu,2023-04-20,2343
Seocho-gu,2023-04-20,20284
Seongdong-gu,2023-04-20,1463
Yongsan-gu,2023-04-20,229
Jongno-gu,2023-04-20,2936
Gangnam-gu,2023-04-20,17696
Seodaemun-gu,2023-04-20,2434
Gangbuk-gu,2023-04-21,2278
Gangnam-gu,2023-04-21,16429
Mapo-gu,2023-04-21,1187
Eunpyeong-gu,2023-04-21,2386
Jung-gu,2023-04-21,23292
Seongdong-gu,2023-04-21,1736
Gwanak-gu,2023-04-21,1867
Gwangjin-gu,2023-04-21,6663
Gangdong-gu,2023-04-21,4722
Gangseo-gu,2023-04-21,5092
Yangcheon-gu,2023-04-21,1772
Seocho-gu,2023-04-21,20501
Yongsan-gu,2023-04-21,213
Seoul_Grand_Park,2023-04-21,7649
Songpa-gu,2023-04-21,1862
Seodaemun-gu,2023-04-21,2571
Jongno-gu,2023-04-21,2935
Gangseo-gu,2023-04-22,3038
Seocho-gu,2023-04-22,19013
Gangdong-gu,2023-04-22,3385
Gangbuk-gu,2023-04-22,2054
Seodaemun-gu,2023-04-22,2397
Eunpyeong-gu,2023-04-22,1712
Yangcheon-gu,2023-04-22,1565
Mapo-gu,2023-04-22,1422
Jongno-gu,2023-04-22,3218
Songpa-gu,2023-04-22,3175
Gangnam-gu,2023-04-22,17561
Gwanak-gu,2023-04-22,2580
Gwangjin-gu,2023-04-22,6210
Yongsan-gu,2023-04-22,373
Seongdong-gu,2023-04-22,2722
Seoul_Grand_Park,2023-04-22,15626
Jung-gu,2023-04-22,24485
Gwanak-gu,2023-04-23,2754
Songpa-gu,2023-04-23,4087
Gangseo-gu,2023-04-23,3431
Mapo-gu,2023-04-23,1938
Seodaemun-gu,2023-04-23,3913
Gangdong-gu,2023-04-23,4800
Seoul_Grand_Park,2023-04-23,21948
Jongno-gu,2023-04-23,4715
Yongsan-gu,2023-04-23,342
Gwangjin-gu,2023-04-23,7059
Seocho-gu,2023-04-23,22563
Gangnam-gu,2023-04-23,19489
Yangcheon-gu,2023-04-23,1804
Gangbuk-gu,2023-04-23,2650
Jung-gu,2023-04-23,27297
Eunpyeong-gu,2023-04-23,2216
Seongdong-gu,2023-04-23,3963
Gangbuk-gu,2023-04-24,3545
Seocho-gu,2023-04-24,32642
Gangdong-gu,2023-04-24,7123
Seongdong-gu,2023-04-24,2094
Gwangjin-gu,2023-04-24,9729
Jongno-gu,2023-04-24,5328
Seoul_Grand_Park,2023-04-24,7432
Yangcheon-gu,2023-04-24,3269
Gangnam-gu,2023-04-24,26376
Seodaemun-gu,2023-04-24,3872
Mapo-gu,2023-04-24,1660
Yongsan-gu,2023-04-24,275
Jung-gu,2023-04-24,38674
Songpa-gu,2023-04-24,2269
Gwanak-gu,2023-04-24,2739
Eunpyeong-gu,2023-04-24,3582
Gangseo-gu,2023-04-24,7408
Yangcheon-gu,2023-04-25,4831
Gwangjin-gu,2023-04-25,16034
Jung-gu,2023-04-25,59921
Gangseo-gu,2023-04-25,9040
Gangnam-gu,2023-04-25,32375
