자치구,측정날짜,방문자수
Mapo-gu,2023-05-21,2010
Jongno-gu,2023-05-21,4298
Seongdong-gu,2023-05-22,3577
Gangnam-gu,2023-05-22,33788
Gangbuk-gu,2023-05-22,5008
Jung-gu,2023-05-22,66949
Seocho-gu,2023-05-22,42665
Gangdong-gu,2023-05-22,9188
Seodaemun-gu,2023-05-22,4549
Gwanak-gu,2023-05-22,5275
Gwangjin-gu,2023-05-22,15393
Songpa-gu,2023-05-22,169
Yongsan-gu,2023-05-22,347
Seoul_Grand_Park,2023-05-22,10745
Gangseo-gu,2023-05-22,12634
Mapo-gu,2023-05-22,2738
Eunpyeong-gu,2023-05-22,4799
Yangcheon-gu,2023-05-22,5495
Jongno-gu,2023-05-22,6254
Seongdong-gu,2023-05-23,4968
Gwangjin-gu,2023-05-23,19877
Seodaemun-gu,2023-05-23,6577
Jung-gu,2023-05-23,84635
Yangcheon-gu,2023-05-23,7217
Seocho-gu,2023-05-23,57728
Gangbuk-gu,2023-05-23,7111
Gangnam-gu,2023-05-23,52844
Gangdong-gu,2023-05-23,13118
Seoul_Grand_Park,2023-05-23,17677
Songpa-gu,2023-05-23,232
Gwanak-gu,2023-05-23,6201
Mapo-gu,2023-05-23,3372
Yongsan-gu,2023-05-23,318
Eunpyeong-gu,2023-05-23,6358
Jongno-gu,2023-05-23,9089
Gangseo-gu,2023-05-23,17184
Gangdong-gu,2023-05-24,13457
Gwanak-gu,2023-05-24,6578
Seocho-gu,2023-05-24,62406
Songpa-gu,2023-05-24,343
Mapo-gu,2023-05-24,4033
Seodaemun-gu,2023-05-24,6920
Yongsan-gu,2023-05-24,707
Jung-gu,2023-05-24,82278
Gangseo-gu,2023-05-24,17814
Yangcheon-gu,2023-05-24,7287
Eunpyeong-gu,2023-05-24,6516
Gwangjin-gu,2023-05-24,20965
Gangnam-gu,2023-05-24,55643
Gangbuk-gu,2023-05-24,6019
Seoul_Grand_Park,2023-05-24,20517
Jongno-gu,2023-05-24,9130
Seongdong-gu,2023-05-24,5548
Yongsan-gu,2023-05-25,351
Seocho-gu,2023-05-25,61997
Gangseo-gu,2023-05-25,17170
Gangnam-gu,2023-05-25,50604
Mapo-gu,2023-05-25,3803
Seongdong-gu,2023-05-25,5425
Jung-gu,2023-05-25,83101
Gwanak-gu,2023-05-25,6143
Gangbuk-gu,2023-05-25,6658
Gangdong-gu,2023-05-25,13582
Songpa-gu,2023-05-25,231
Seodaemun-gu,2023-05-25,6970
Gwangjin-gu,2023-05-25,21233
Seoul_Grand_Park,2023-05-25,22793
Eunpyeong-gu,2023-05-25,6169
Jongno-gu,2023-05-25,9633
Yangcheon-gu,2023-05-25,7754
Eunpyeong-gu,2023-05-26,6880
Jung-gu,2023-05-26,89860
Songpa-gu,2023-05-26,347
Gwanak-gu,2023-05-26,8191
Mapo-gu,2023-05-26,4329
Gwangjin-gu,2023-05-26,22628
Seoul_Grand_Park,2023-05-26,21020
Yangcheon-gu,2023-05-26,7698
Seongdong-gu,2023-05-26,6771
Gangnam-gu,2023-05-26,56853
Seocho-gu,2023-05-26,69496
Jongno-gu,2023-05-26,10001
Seodaemun-gu,2023-05-26,7327
Gangdong-gu,2023-05-26,14035
Yongsan-gu,2023-05-26,453
Gangseo-gu,2023-05-26,18295
Gangbuk-gu,2023-05-26,7424
Mapo-gu,2023-05-27,4771
Gangbuk-gu,2023-05-27,5467
Gangnam-gu,2023-05-27,41826
Eunpyeong-gu,2023-05-27,5748
Yangcheon-gu,2023-05-27,5843
Songpa-gu,2023-05-27,32
Jung-gu,2023-05-27,109933
Yongsan-gu,2023-05-27,878
Seoul_Grand_Park,2023-05-27,25645
Seongdong-gu,2023-05-27,10283
Gwanak-gu,2023-05-27,8655
Gangseo-gu,2023-05-27,9817
Jongno-gu,2023-05-27,7778
Seodaemun-gu,2023-05-27,6209
Gangdong-gu,2023-05-27,10255
Seocho-gu,2023-05-27,52141
Gwangjin-gu,2023-05-27,21403
Yongsan-gu,2023-05-28,861
Mapo-gu,2023-05-28,3890
Seodaemun-gu,2023-05-28,6189
Eunpyeong-gu,2023-05-28,5683
Seocho-gu,2023-05-28,40278
Gwangjin-gu,2023-05-28,20965
Seongdong-gu,2023-05-28,7426
Gwanak-gu,2023-05-28,8197
Songpa-gu,2023-05-28,4
Seoul_Grand_Park,2023-05-28,11044
Gangbuk-gu,2023-05-28,4992
Gangdong-gu,2023-05-28,9236
Gangseo-gu,2023-05-28,7630
Jung-gu,2023-05-28,99837
Jongno-gu,2023-05-28,5943
Gangnam-gu,2023-05-28,30253
Yangcheon-gu,2023-05-28,4772
Gangseo-gu,2023-05-29,11832
Seodaemun-gu,2023-05-29,6026
Jung-gu,2023-05-29,94392
Seoul_Grand_Park,2023-05-29,50255
Gangdong-gu,2023-05-29,12242
Songpa-gu,2023-05-29,0
Gwangjin-gu,2023-05-29,19620
Jongno-gu,2023-05-29,12212
Mapo-gu,2023-05-29,4985
Yangcheon-gu,2023-05-29,6255
Yongsan-gu,2023-05-29,751
Gangbuk-gu,2023-05-29,8651
Gangnam-gu,2023-05-29,27872
Gwanak-gu,2023-05-29,8319
Seocho-gu,2023-05-29,46246
Seongdong-gu,2023-05-29,8698
Eunpyeong-gu,2023-05-29,5802
Gwanak-gu,2023-05-30,6224
Seongdong-gu,2023-05-30,4527
Mapo-gu,2023-05-30,3491
Jongno-gu,2023-05-30,7895
Songpa-gu,2023-05-30,1563
Yongsan-gu,2023-05-30,249
Jung-gu,2023-05-30,78176
Seodaemun-gu,2023-05-30,7117
Seocho-gu,2023-05-30,57472
Gwangjin-gu,2023-05-30,21458
Gangdong-gu,2023-05-30,13433
Gangbuk-gu,2023-05-30,7555
Gangnam-gu,2023-05-30,39371
Gangseo-gu,2023-05-30,17756
Yangcheon-gu,2023-05-30,7138
Eunpyeong-gu,2023-05-30,6275
Seoul_Grand_Park,2023-05-30,15282
Seongdong-gu,2023-05-31,4753
Seocho-gu,2023-05-31,58787
Gwangjin-gu,2023-05-31,20810
Gangbuk-gu,2023-05-31,7439
Gangdong-gu,2023-05-31,13525
Yangcheon-gu,2023-05-31,7167
Yongsan-gu,2023-05-31,319
Jongno-gu,2023-05-31,8270
Mapo-gu,2023-05-31,3621
Gangnam-gu,2023-05-31,42866
Gangseo-gu,2023-05-31,17941
Seoul_Grand_Park,2023-05-31,17246
Eunpyeong-gu,2023-05-31,6481
Seodaemun-gu,2023-05-31,6927
Songpa-gu,2023-05-31,175
Gwanak-gu,2023-05-31,6019
Jung-gu,2023-05-31,78360
Eunpyeong-gu,2023-06-01,6393
Gangdong-gu,2023-06-01,13464
Jung-gu,2023-06-01,79229
Gangbuk-gu,2023-06-01,7606
Gangseo-gu,2023-06-01,18504
Gangnam-gu,2023-06-01,51428
Seoul_Grand_Park,2023-06-01,18069
Seodaemun-gu,2023-06-01,6915
Gwangjin-gu,2023-06-01,21132
Mapo-gu,2023-06-01,3623
Yangcheon-gu,2023-06-01,7352
Seocho-gu,2023-06-01,62943
Jongno-gu,2023-06-01,8497
Songpa-gu,2023-06-01,0
Seongdong-gu,2023-06-01,5112
Yongsan-gu,2023-06-01,757
Gwanak-gu,2023-06-01,6478
Gangseo-gu,2023-06-02,17329
Jung-gu,2023-06-02,85270
Jongno-gu,2023-06-02,9771
Seongdong-gu,2023-06-02,6125
Eunpyeong-gu,2023-06-02,6494
Gwanak-gu,2023-06-02,7732
Gangdong-gu,2023-06-02,14159
Mapo-gu,2023-06-02,4305
Gwangjin-gu,2023-06-02,22059
Gangbuk-gu,2023-06-02,7521
Yongsan-gu,2023-06-02,812
Seocho-gu,2023-06-02,71316
Gangnam-gu,2023-06-02,63190
Seoul_Grand_Park,2023-06-02,26430
Yangcheon-gu,2023-06-02,7773
Songpa-gu,2023-06-02,7
Seodaemun-gu,2023-06-02,7067
Seocho-gu,2023-06-03,63524
Seoul_Grand_Park,2023-06-03,91000
Gwanak-gu,2023-06-03,8703
Mapo-gu,2023-06-03,5699
Yangcheon-gu,2023-06-03,6706
Seodaemun-gu,2023-06-03,7502
Jongno-gu,2023-06-03,13727
Seongdong-gu,2023-06-03,11199
Gangdong-gu,2023-06-03,12645
Yongsan-gu,2023-06-03,485
Gangnam-gu,2023-06-03,61290
Eunpyeong-gu,2023-06-03,6235
Jung-gu,2023-06-03,99370
Gwangjin-gu,2023-06-03,20812
Gangbuk-gu,2023-06-03,8687
Gangseo-gu,2023-06-03,11536
Songpa-gu,2023-06-03,173
Eunpyeong-gu,2023-06-04,4853
Gangnam-gu,2023-06-04,40963
Seoul_Grand_Park,2023-06-04,79545
Jung-gu,2023-06-04,92047
Seodaemun-gu,2023-06-04,6042
Songpa-gu,2023-06-04,98
Gangbuk-gu,2023-06-04,7187
Jongno-gu,2023-06-04,11087
Seongdong-gu,2023-06-04,9748
Yongsan-gu,2023-06-04,203
Gwanak-gu,2023-06-04,7133
Seocho-gu,2023-06-04,45509
Gangdong-gu,2023-06-04,11157
Gwangjin-gu,2023-06-04,17064
Mapo-gu,2023-06-04,4839
Yangcheon-gu,2023-06-04,5151
Gangseo-gu,2023-06-04,8896
Gangdong-gu,2023-06-05,12862
Yongsan-gu,2023-06-05,476
Songpa-gu,2023-06-05,201
Seocho-gu,2023-06-05,61967
Gangnam-gu,2023-06-05,58182
Seongdong-gu,2023-06-05,6995
Seoul_Grand_Park,2023-06-05,43303
Gwangjin-gu,2023-06-05,20813
Jung-gu,2023-06-05,95191
Eunpyeong-gu,2023-06-05,6678
Mapo-gu,2023-06-05,4192
Jongno-gu,2023-06-05,10830
Seodaemun-gu,2023-06-05,6640
Gangseo-gu,2023-06-05,14167
Yangcheon-gu,2023-06-05,7483
Gangbuk-gu,2023-06-05,8281
Gwanak-gu,2023-06-05,7167
Gwangjin-gu,2023-06-06,18106
Seongdong-gu,2023-06-06,10647
Jongno-gu,2023-06-06,11342
Gangseo-gu,2023-06-06,10302
Yangcheon-gu,2023-06-06,5319
Songpa-gu,2023-06-06,77
Gangnam-gu,2023-06-06,40973
Seodaemun-gu,2023-06-06,6019
Eunpyeong-gu,2023-06-06,5342
Jung-gu,2023-06-06,87630
Gangdong-gu,2023-06-06,11844
Gangbuk-gu,2023-06-06,9171
Yongsan-gu,2023-06-06,1030
Seoul_Grand_Park,2023-06-06,73350
Mapo-gu,2023-06-06,4950
Seocho-gu,2023-06-06,42531
Gwanak-gu,2023-06-06,7575
Yangcheon-gu,2023-06-07,7091
Gangseo-gu,2023-06-07,16791
Eunpyeong-gu,2023-06-07,6571
Seodaemun-gu,2023-06-07,6991
Seoul_Grand_Park,2023-06-07,14229
Gangnam-gu,2023-06-07,55026
Songpa-gu,2023-06-07,0
Gangbuk-gu,2023-06-07,7484
Seocho-gu,2023-06-07,61000
Jongno-gu,2023-06-07,8858
Gangdong-gu,2023-06-07,13600
Jung-gu,2023-06-07,75557
Gwanak-gu,2023-06-07,5726
Gwangjin-gu,2023-06-07,19913
Yongsan-gu,2023-06-07,693
Mapo-gu,2023-06-07,3592
Seongdong-gu,2023-06-07,4640
Seodaemun-gu,2023-06-08,6885
Gwangjin-gu,2023-06-08,20319
Seongdong-gu,2023-06-08,4315
Gangnam-gu,2023-06-08,57251
Mapo-gu,2023-06-08,3644
Songpa-gu,2023-06-08,110
Gangbuk-gu,2023-06-08,6863
Seocho-gu,2023-06-08,58024
Eunpyeong-gu,2023-06-08,6238
Gwanak-gu,2023-06-08,5906
Yangcheon-gu,2023-06-08,7111
Jung-gu,2023-06-08,88142
Jongno-gu,2023-06-08,7842
Yongsan-gu,2023-06-08,717
Gangdong-gu,2023-06-08,12983
Seoul_Grand_Park,2023-06-08,12501
Gangseo-gu,2023-06-08,16235
Seoul_Grand_Park,2023-06-09,16949
Yongsan-gu,2023-06-09,177
Seongdong-gu,2023-06-09,5661
Seocho-gu,2023-06-09,66582
Yangcheon-gu,2023-06-09,23187
Seodaemun-gu,2023-06-09,6786
Songpa-gu,2023-06-09,6291
Dobong-gu,2023-06-09,13907
Eunpyeong-gu,2023-06-09,6331
Gwanak-gu,2023-06-09,13112
Jongno-gu,2023-06-09,10940
Nowon-gu,2023-06-09,9733
Guro-gu,2023-06-09,14917
Gangdong-gu,2023-06-09,23409
Gangnam-gu,2023-06-09,74000
Geumcheon-gu,2023-06-09,11179
Gangseo-gu,2023-06-09,20837
Dongjak-gu,2023-06-09,16231
Jung-gu,2023-06-09,84368
Jungnang-gu,2023-06-09,5369
Mapo-gu,2023-06-09,12052
Gangbuk-gu,2023-06-09,17397
Gwangjin-gu,2023-06-09,28038
Gwanak-gu,2023-06-10,82682
Jungnang-gu,2023-06-10,42455
Songpa-gu,2023-06-10,65745
Gangnam-gu,2023-06-10,199816
Jongno-gu,2023-06-10,34256
Gwangjin-gu,2023-06-10,81607
Gangdong-gu,2023-06-10,99524
Seongdong-gu,2023-06-10,9595
Seodaemun-gu,2023-06-10,6897
Mapo-gu,2023-06-10,68847
Eunpyeong-gu,2023-06-10,6435
Dongjak-gu,2023-06-10,164873
Jung-gu,2023-06-10,95297
Gangseo-gu,2023-06-10,42426
Guro-gu,2023-06-10,132397
Seocho-gu,2023-06-10,62319
Geumcheon-gu,2023-06-10,101752
Yangcheon-gu,2023-06-10,140185
Nowon-gu,2023-06-10,72845
Seoul_Grand_Park,2023-06-10,33234
Gangbuk-gu,2023-06-10,94603
Yongsan-gu,2023-06-10,586
Dobong-gu,2023-06-10,106510
Seongdong-gu,2023-06-11,8424
Geumcheon-gu,2023-06-11,99469
Jung-gu,2023-06-11,85443
Yangcheon-gu,2023-06-11,126450
Gwangjin-gu,2023-06-11,72901
Gangbuk-gu,2023-06-11,86148
Songpa-gu,2023-06-11,62486
Jongno-gu,2023-06-11,32143
Gangdong-gu,2023-06-11,89974
Dongjak-gu,2023-06-11,149619
Guro-gu,2023-06-11,123749
Seocho-gu,2023-06-11,39172
Gangseo-gu,2023-06-11,37653
Dobong-gu,2023-06-11,100780
Seoul_Grand_Park,2023-06-11,31480
Nowon-gu,2023-06-11,68564
Yongsan-gu,2023-06-11,338
Seodaemun-gu,2023-06-11,6270
Gwanak-gu,2023-06-11,75078
Jungnang-gu,2023-06-11,39526
Mapo-gu,2023-06-11,61180
Gangnam-gu,2023-06-11,168562
Eunpyeong-gu,2023-06-11,4861
Jungnang-gu,2023-06-12,42481
Jongno-gu,2023-06-12,24842
Seongdong-gu,2023-06-12,4253
Seodaemun-gu,2023-06-12,6588
Gangseo-gu,2023-06-12,47724
Gangbuk-gu,2023-06-12,97060
Gangdong-gu,2023-06-12,102158
Songpa-gu,2023-06-12,59971
Yangcheon-gu,2023-06-12,139985
Jung-gu,2023-06-12,87649
Mapo-gu,2023-06-12,61819
Gangnam-gu,2023-06-12,196324
Dobong-gu,2023-06-12,111321
Eunpyeong-gu,2023-06-12,6162
Yongsan-gu,2023-06-12,367
Seoul_Grand_Park,2023-06-12,12936
Gwangjin-gu,2023-06-12,79037
Nowon-gu,2023-06-12,73497
Seocho-gu,2023-06-12,59018
Guro-gu,2023-06-12,135389
Geumcheon-gu,2023-06-12,112797
Dongjak-gu,2023-06-12,169715
Gwanak-gu,2023-06-12,76103
Eunpyeong-gu,2023-06-13,6244
Seocho-gu,2023-06-13,59030
Guro-gu,2023-06-13,131063
Jung-gu,2023-06-13,83446
Dongjak-gu,2023-06-13,167684
Gangdong-gu,2023-06-13,100043
Seodaemun-gu,2023-06-13,6971
Mapo-gu,2023-06-13,63245
Gangnam-gu,2023-06-13,197651
Jungnang-gu,2023-06-13,39967
Seoul_Grand_Park,2023-06-13,13293
Dobong-gu,2023-06-13,106511
Yongsan-gu,2023-06-13,439
Nowon-gu,2023-06-13,72006
Gangseo-gu,2023-06-13,46246
Gwangjin-gu,2023-06-13,78854
Yangcheon-gu,2023-06-13,137633
Songpa-gu,2023-06-13,60260
Geumcheon-gu,2023-06-13,111536
Seongdong-gu,2023-06-13,4778
Gangbuk-gu,2023-06-13,92188
Gwanak-gu,2023-06-13,77068
Jongno-gu,2023-06-13,28482
Jung-gu,2023-06-14,92344
Geumcheon-gu,2023-06-14,111455
Jongno-gu,2023-06-14,28730
Gangseo-gu,2023-06-14,48741
Seongdong-gu,2023-06-14,4614
Yongsan-gu,2023-06-14,543
Gwangjin-gu,2023-06-14,81663
Dobong-gu,2023-06-14,107677
Seoul_Grand_Park,2023-06-14,12747
Gwanak-gu,2023-06-14,76373
Gangnam-gu,2023-06-14,195667
Songpa-gu,2023-06-14,61702
Guro-gu,2023-06-14,131234
Eunpyeong-gu,2023-06-14,6180
Dongjak-gu,2023-06-14,164024
Yangcheon-gu,2023-06-14,140442
Jungnang-gu,2023-06-14,41660
Gangdong-gu,2023-06-14,102346
Seocho-gu,2023-06-14,59765
Gangbuk-gu,2023-06-14,92807
Nowon-gu,2023-06-14,71709
Seodaemun-gu,2023-06-14,6340
Mapo-gu,2023-06-14,61193
Gangnam-gu,2023-06-15,197099
Yongsan-gu,2023-06-15,435
Geumcheon-gu,2023-06-15,114704
Mapo-gu,2023-06-15,66044
Seoul_Grand_Park,2023-06-15,13053
Seongdong-gu,2023-06-15,5428
Gangbuk-gu,2023-06-15,96426
Jongno-gu,2023-06-15,27191
Jungnang-gu,2023-06-15,42414
Dobong-gu,2023-06-15,107131
Seodaemun-gu,2023-06-15,6839
Yangcheon-gu,2023-06-15,139163
Gwangjin-gu,2023-06-15,81651
Gangseo-gu,2023-06-15,51806
Nowon-gu,2023-06-15,73244
Gangdong-gu,2023-06-15,103395
Dongjak-gu,2023-06-15,165903
Songpa-gu,2023-06-15,62648
Guro-gu,2023-06-15,133575
Jung-gu,2023-06-15,92627
Gwanak-gu,2023-06-15,79407
Eunpyeong-gu,2023-06-15,6093
Seocho-gu,2023-06-15,63838
Dobong-gu,2023-06-16,108856
Guro-gu,2023-06-16,133308
Dongjak-gu,2023-06-16,168471
Gangbuk-gu,2023-06-16,94566
Gangseo-gu,2023-06-16,47137
Yangcheon-gu,2023-06-16,141537
Gwanak-gu,2023-06-16,76536
Mapo-gu,2023-06-16,67164
Seoul_Grand_Park,2023-06-16,12436
Geumcheon-gu,2023-06-16,103363
Nowon-gu,2023-06-16,73047
Gwangjin-gu,2023-06-16,81326
Seocho-gu,2023-06-16,67181
Eunpyeong-gu,2023-06-16,6155
Seongdong-gu,2023-06-16,6362
Songpa-gu,2023-06-16,63297
Yongsan-gu,2023-06-16,226
Seodaemun-gu,2023-06-16,6991
Jung-gu,2023-06-16,95486
Jongno-gu,2023-06-16,28280
Gangdong-gu,2023-06-16,104045
Jungnang-gu,2023-06-16,41144
Gangnam-gu,2023-06-16,197918
Nowon-gu,2023-06-17,71849
Gangnam-gu,2023-06-17,201770
Seocho-gu,2023-06-17,64450
Seodaemun-gu,2023-06-17,7213
Geumcheon-gu,2023-06-17,101621
Gwanak-gu,2023-06-17,79572
Yangcheon-gu,2023-06-17,138963
Seoul_Grand_Park,2023-06-17,38715
Mapo-gu,2023-06-17,67422
Dobong-gu,2023-06-17,107869
Guro-gu,2023-06-17,130767
Seongdong-gu,2023-06-17,11049
Dongjak-gu,2023-06-17,166804
Gangbuk-gu,2023-06-17,94774
Jungnang-gu,2023-06-17,41317
Songpa-gu,2023-06-17,61674
Eunpyeong-gu,2023-06-17,6347
Gangseo-gu,2023-06-17,42617
Yongsan-gu,2023-06-17,234
Gangdong-gu,2023-06-17,98595
Jongno-gu,2023-06-17,37750
Gwangjin-gu,2023-06-17,83499
Jung-gu,2023-06-17,103216
Yangcheon-gu,2023-06-18,135022
Seoul_Grand_Park,2023-06-18,31089
Eunpyeong-gu,2023-06-18,4434
Jung-gu,2023-06-18,91292
Seocho-gu,2023-06-18,41049
Nowon-gu,2023-06-18,79207
Seodaemun-gu,2023-06-18,5998
Gangdong-gu,2023-06-18,96192
Gangnam-gu,2023-06-18,183666
Geumcheon-gu,2023-06-18,99954
Dongjak-gu,2023-06-18,164256
Dobong-gu,2023-06-18,110615
Seongdong-gu,2023-06-18,7391
Jongno-gu,2023-06-18,29702
Gangbuk-gu,2023-06-18,96202
Gwangjin-gu,2023-06-18,80280
Gwanak-gu,2023-06-18,82434
Guro-gu,2023-06-18,137589
Gangseo-gu,2023-06-18,41500
Jungnang-gu,2023-06-18,42219
Songpa-gu,2023-06-18,66817
Yongsan-gu,2023-06-18,403
Mapo-gu,2023-06-18,70449
Eunpyeong-gu,2023-06-19,6143
Jungnang-gu,2023-06-19,42549
Seocho-gu,2023-06-19,56153
Dongjak-gu,2023-06-19,171623
Dobong-gu,2023-06-19,115616
Guro-gu,2023-06-19,139719
Jung-gu,2023-06-19,90777
Gangdong-gu,2023-06-19,102005
Yangcheon-gu,2023-06-19,145703
Songpa-gu,2023-06-19,61876
Nowon-gu,2023-06-19,79908
Seoul_Grand_Park,2023-06-19,9021
Gangbuk-gu,2023-06-19,100011
Gangseo-gu,2023-06-19,48916
Seodaemun-gu,2023-06-19,6083
Yongsan-gu,2023-06-19,303
Geumcheon-gu,2023-06-19,112682
Gangnam-gu,2023-06-19,195271
Gwangjin-gu,2023-06-19,83723
Gwanak-gu,2023-06-19,81253
Jongno-gu,2023-06-19,24611
Mapo-gu,2023-06-19,66951
Seongdong-gu,2023-06-19,3874
Gangbuk-gu,2023-06-20,93228
Gangseo-gu,2023-06-20,48986
Eunpyeong-gu,2023-06-20,6483
Gangnam-gu,2023-06-20,197848
Gangdong-gu,2023-06-20,98237
Dongjak-gu,2023-06-20,165213
Geumcheon-gu,2023-06-20,105546
Seoul_Grand_Park,2023-06-20,10497
Yangcheon-gu,2023-06-20,137628
Songpa-gu,2023-06-20,61936
Dobong-gu,2023-06-20,104374
Guro-gu,2023-06-20,129550
Gwangjin-gu,2023-06-20,80656
Jungnang-gu,2023-06-20,40377
Seodaemun-gu,2023-06-20,7134
Seocho-gu,2023-06-20,60994
Jung-gu,2023-06-20,88059
Yongsan-gu,2023-06-20,725
Mapo-gu,2023-06-20,63732
Jongno-gu,2023-06-20,24756
Seongdong-gu,2023-06-20,4964
Gwanak-gu,2023-06-20,75737
Nowon-gu,2023-06-20,73230
Gangbuk-gu,2023-06-21,99097
Jung-gu,2023-06-21,98202
Dongjak-gu,2023-06-21,167273
Jongno-gu,2023-06-21,27013
Gangnam-gu,2023-06-21,191906
Geumcheon-gu,2023-06-21,113696
Seocho-gu,2023-06-21,62240
Gangseo-gu,2023-06-21,49748
Eunpyeong-gu,2023-06-21,6342
Gwangjin-gu,2023-06-21,83485
Yangcheon-gu,2023-06-21,143146
Songpa-gu,2023-06-21,61613
Seongdong-gu,2023-06-21,4730
Yongsan-gu,2023-06-21,770
Jungnang-gu,2023-06-21,41944
Seodaemun-gu,2023-06-21,6905
Gangdong-gu,2023-06-21,103471
Mapo-gu,2023-06-21,66603
Gwanak-gu,2023-06-21,84140
Nowon-gu,2023-06-21,78222
Dobong-gu,2023-06-21,109364
Seoul_Grand_Park,2023-06-21,7333
Guro-gu,2023-06-21,139923
Jungnang-gu,2023-06-22,43006
Yongsan-gu,2023-06-22,738
Eunpyeong-gu,2023-06-22,6305
Gangseo-gu,2023-06-22,51007
Seodaemun-gu,2023-06-22,7024
Gwangjin-gu,2023-06-22,87684
Mapo-gu,2023-06-22,67754
Gangdong-gu,2023-06-22,106469
Songpa-gu,2023-06-22,66335
Jongno-gu,2023-06-22,31773
Gangbuk-gu,2023-06-22,99603
Yangcheon-gu,2023-06-22,148979
Gangnam-gu,2023-06-22,204367
Dobong-gu,2023-06-22,113924
Jung-gu,2023-06-22,93500
Guro-gu,2023-06-22,140921
Geumcheon-gu,2023-06-22,117817
Seongdong-gu,2023-06-22,6408
Seocho-gu,2023-06-22,69127
Nowon-gu,2023-06-22,79661
Seoul_Grand_Park,2023-06-22,12701
Dongjak-gu,2023-06-22,175411
Gwanak-gu,2023-06-22,83302
Seongdong-gu,2023-06-23,7178
Geumcheon-gu,2023-06-23,107906
Jongno-gu,2023-06-23,30743
Yangcheon-gu,2023-06-23,140072
Songpa-gu,2023-06-23,61783
Gangnam-gu,2023-06-23,201532
Seoul_Grand_Park,2023-06-23,11490
Mapo-gu,2023-06-23,62214
Jung-gu,2023-06-23,93482
Gwanak-gu,2023-06-23,76780
Gangdong-gu,2023-06-23,101343
Nowon-gu,2023-06-23,72581
Guro-gu,2023-06-23,132152
Gangbuk-gu,2023-06-23,94964
Dobong-gu,2023-06-23,104812
Jungnang-gu,2023-06-23,43158
Eunpyeong-gu,2023-06-23,6475
Gangseo-gu,2023-06-23,49888
Dongjak-gu,2023-06-23,164516
Seocho-gu,2023-06-23,72832
Gwangjin-gu,2023-06-23,84936
Seodaemun-gu,2023-06-23,6763
Yongsan-gu,2023-06-23,316
Gangdong-gu,2023-06-24,100150
Jung-gu,2023-06-24,98324
Gangbuk-gu,2023-06-24,91354
Jungnang-gu,2023-06-24,40781
Seoul_Grand_Park,2023-06-24,32403
Seodaemun-gu,2023-06-24,7181
Songpa-gu,2023-06-24,51553
Eunpyeong-gu,2023-06-24,6234
Guro-gu,2023-06-24,133306
Gwanak-gu,2023-06-24,78850
Yongsan-gu,2023-06-24,67
Dobong-gu,2023-06-24,106378
Nowon-gu,2023-06-24,72395
Mapo-gu,2023-06-24,64673
Yangcheon-gu,2023-06-24,139892
Seongdong-gu,2023-06-24,9966
Dongjak-gu,2023-06-24,165659
Gangseo-gu,2023-06-24,43939
Gwangjin-gu,2023-06-24,83669
Geumcheon-gu,2023-06-24,104510
Jongno-gu,2023-06-24,38726
Gangnam-gu,2023-06-24,200842
Seocho-gu,2023-06-24,66575
Guro-gu,2023-06-25,121698
Dobong-gu,2023-06-25,98138
Gwanak-gu,2023-06-25,77292
Yangcheon-gu,2023-06-25,97437
Gangseo-gu,2023-06-25,38388
Yongsan-gu,2023-06-25,45
Gangdong-gu,2023-06-25,89236
Gwangjin-gu,2023-06-25,74635
Geumcheon-gu,2023-06-25,94605
Seodaemun-gu,2023-06-25,5649
Seocho-gu,2023-06-25,40920
Mapo-gu,2023-06-25,62035
Seoul_Grand_Park,2023-06-25,25103
Dongjak-gu,2023-06-25,148709
Jung-gu,2023-06-25,89827
Seongdong-gu,2023-06-25,7425
Gangbuk-gu,2023-06-25,86943
Eunpyeong-gu,2023-06-25,4727
Nowon-gu,2023-06-25,68293
Jungnang-gu,2023-06-25,38381
Gangnam-gu,2023-06-25,173392
Songpa-gu,2023-06-25,56917
Jongno-gu,2023-06-25,27560
Gangbuk-gu,2023-06-26,88203
Seocho-gu,2023-06-26,64222
Guro-gu,2023-06-26,132417
Nowon-gu,2023-06-26,71922
Jungnang-gu,2023-06-26,39284
Seongdong-gu,2023-06-26,3635
Gangseo-gu,2023-06-26,45233
Yangcheon-gu,2023-06-26,128502
Eunpyeong-gu,2023-06-26,6507
Seoul_Grand_Park,2023-06-26,4994
Gangdong-gu,2023-06-26,94966
Yongsan-gu,2023-06-26,601
Jung-gu,2023-06-26,85507
Mapo-gu,2023-06-26,58412
Seodaemun-gu,2023-06-26,6283
Dobong-gu,2023-06-26,103752
Gwanak-gu,2023-06-26,79043
Geumcheon-gu,2023-06-26,113859
Jongno-gu,2023-06-26,20655
Gwangjin-gu,2023-06-26,78500
Gangnam-gu,2023-06-26,189449
Dongjak-gu,2023-06-26,162213
Songpa-gu,2023-06-26,58498
Dongjak-gu,2023-06-27,163740
Dobong-gu,2023-06-27,105330
Seocho-gu,2023-06-27,61225
Eunpyeong-gu,2023-06-27,6112
Mapo-gu,2023-06-27,59733
Nowon-gu,2023-06-27,74398
Yangcheon-gu,2023-06-27,131766
Jungnang-gu,2023-06-27,41083
Yongsan-gu,2023-06-27,73
Seodaemun-gu,2023-06-27,6433
Seongdong-gu,2023-06-27,4582
Jongno-gu,2023-06-27,25490
Guro-gu,2023-06-27,131488
Gangnam-gu,2023-06-27,190542
