Gu,Date,DailyRain
강서구,2023-03-05,0.0
강서구,2023-03-06,0.0
강서구,2023-03-07,0.0
강서구,2023-03-08,7.0
강서구,2023-03-09,4.5
강서구,2023-03-10,0.0
강서구,2023-03-11,0.0
강서구,2023-03-12,10.0
강서구,2023-03-13,0.0
강서구,2023-03-14,0.0
강서구,2023-03-15,0.0
강서구,2023-03-16,0.0
강서구,2023-03-17,0.0
강서구,2023-03-18,0.0
강서구,2023-03-19,0.0
강서구,2023-03-20,0.0
강서구,2023-03-21,0.0
강서구,2023-03-22,0.0
강서구,2023-03-23,0.0
강서구,2023-03-24,0.0
강서구,2023-03-25,0.0
강서구,2023-03-26,0.0
강서구,2023-03-27,0.0
강서구,2023-03-28,0.0
강서구,2023-03-29,0.0
강서구,2023-03-30,0.0
강서구,2023-03-31,0.0
강서구,2023-04-01,0.0
강서구,2023-04-02,0.0
강서구,2023-04-03,0.5
강서구,2023-04-04,15.0
강서구,2023-04-05,95.0
강서구,2023-04-06,4.0
강서구,2023-04-07,0.0
강서구,2023-04-08,0.0
강서구,2023-04-09,0.0
강서구,2023-04-10,0.0
강서구,2023-04-11,3.0
강서구,2023-04-12,0.0
강서구,2023-04-13,0.0
강서구,2023-04-14,0.0
강서구,2023-04-15,5.0
강서구,2023-04-16,0.0
강서구,2023-04-17,0.0
강서구,2023-04-18,1.0
강서구,2023-04-19,0.0
강서구,2023-04-20,0.0
강서구,2023-04-21,0.0
강서구,2023-04-22,0.0
강서구,2023-04-23,0.0
강서구,2023-04-24,0.0
강서구,2023-04-25,0.0
강서구,2023-04-26,0.0
강서구,2023-04-27,0.0
강서구,2023-04-28,3.0
강서구,2023-04-29,29.0
강서구,2023-04-30,0.5
강서구,2023-05-01,0.0
강서구,2023-05-02,0.0
강서구,2023-05-03,0.0
강서구,2023-05-04,0.0
강서구,2023-05-05,40.5
강서구,2023-05-06,73.5
강서구,2023-05-07,0.0
강서구,2023-05-08,0.0
강서구,2023-05-09,0.0
강서구,2023-05-10,0.0
강서구,2023-05-11,0.0
강서구,2023-05-12,0.0
강서구,2023-05-13,0.0
강서구,2023-05-14,0.0
강서구,2023-05-15,0.0
강서구,2023-05-16,0.0
강서구,2023-05-17,0.0
강서구,2023-05-18,1.0
강서구,2023-05-19,0.0
강서구,2023-05-20,0.0
강서구,2023-05-21,0.0
강서구,2023-05-22,0.0
강서구,2023-05-23,0.0
강서구,2023-05-24,0.0
강서구,2023-05-25,0.0
강서구,2023-05-26,1.0
강서구,2023-05-27,64.0
강서구,2023-05-28,73.0
강서구,2023-05-29,4.0
강서구,2023-05-30,0.0
강서구,2023-05-31,0.0
강서구,2023-06-01,0.0
강서구,2023-06-02,0.0
강서구,2023-06-03,0.0
강서구,2023-06-04,0.0
강서구,2023-06-05,0.0
강서구,2023-06-06,0.0
강서구,2023-06-07,0.0
강서구,2023-06-08,3.5
강서구,2023-06-09,1.0
강서구,2023-06-10,16.0
강서구,2023-06-11,40.5
강서구,2023-06-12,0.0
강서구,2023-06-13,0.0
강서구,2023-06-14,9.5
강서구,2023-06-15,0.0
강서구,2023-06-16,0.0
강서구,2023-06-17,0.0
강서구,2023-06-18,0.0
강서구,2023-06-19,0.0
