date,name,PM10,PM2.5,O3,NO2,CO,SO2
2023-06-12,평균,29,18,0.0461,0.0179,0.43,0.0028
2023-06-12,강남구,30,19,0.0492,0.0223,0.41,0.0033
2023-06-12,강동구,30,18,0.0342,0.0186,0.4,0.0026
2023-06-12,강북구,29,17,0.0452,0.0109,0.39,0.0023
2023-06-12,강서구,33,21,0.0369,0.0143,0.46,0.0024
2023-06-12,관악구,32,18,0.0533,0.02,0.44,0.0031
2023-06-12,광진구,29,16,0.0432,0.019,0.41,0.0027
2023-06-12,구로구,29,16,0.0466,0.0144,0.34,0.0028
2023-06-12,금천구,31,18,0.0403,0.0178,0.41,0.0033
2023-06-12,노원구,28,17,0.0409,0.0164,0.42,0.0026
2023-06-12,도봉구,27,17,0.0437,0.0129,0.55,0.0027
2023-06-12,동대문구,30,19,0.0509,0.0163,0.44,0.0032
2023-06-12,동작구,26,18,0.0519,0.0169,0.36,0.0026
2023-06-12,마포구,29,18,0.054,0.019,0.43,0.0033
2023-06-12,서대문구,28,16,0.0475,0.0163,0.48,0.0024
2023-06-12,서초구,27,16,0.0424,0.0221,0.35,0.0029
2023-06-12,성동구,28,18,0.0487,0.0202,0.4,0.0029
2023-06-12,성북구,31,18,0.0449,0.018,0.45,0.0022
2023-06-12,송파구,34,20,0.0475,0.0225,0.45,0.0025
2023-06-12,양천구,30,20,0.0519,0.0175,0.45,0.003
2023-06-12,영등포구,28,17,0.0533,0.0199,0.42,0.003
2023-06-12,용산구,32,20,0.05,0.0214,0.47,0.0033
2023-06-12,은평구,30,20,0.0359,0.0135,0.6,0.0027
2023-06-12,종로구,26,14,0.0508,0.0171,0.46,0.003
2023-06-12,중구,23,17,0.0466,0.0194,0.42,0.0028
2023-06-12,중랑구,30,19,0.042,0.0205,0.35,0.0023
2023-06-11,평균,21,13,0.0562,0.0085,0.37,0.0023
2023-06-11,강남구,22,15,0.0575,0.0107,0.32,0.0029
2023-06-11,강동구,20,12,0.046,0.0075,0.32,0.0021
2023-06-11,강북구,22,13,0.0529,0.0051,0.34,0.002
2023-06-11,강서구,24,15,0.0592,0.0084,0.44,0.0022
2023-06-11,관악구,24,14,0.0589,0.0109,0.41,0.0025
2023-06-11,광진구,21,12,0.0575,0.0083,0.32,0.0025
2023-06-11,구로구,17,13,0.0521,0.0075,0.31,0.0022
2023-06-11,금천구,25,14,0.0477,0.009,0.39,0.0028
2023-06-11,노원구,20,13,0.0511,0.0081,0.36,0.0023
2023-06-11,도봉구,17,12,0.0507,0.0058,0.55,0.0025
2023-06-11,동대문구,21,14,0.0597,0.0073,0.36,0.0027
2023-06-11,동작구,22,,0.0589,0.0088,0.32,0.0022
2023-06-11,마포구,22,14,0.0628,0.0109,0.38,0.0025
2023-06-11,서대문구,19,10,0.0629,0.0068,0.41,0.0019
2023-06-11,서초구,19,12,0.0565,0.0106,0.33,0.0026
2023-06-11,성동구,21,13,0.0587,0.0086,0.31,0.0024
2023-06-11,성북구,20,12,0.0556,0.0088,0.44,0.0019
2023-06-11,송파구,24,14,0.061,0.0098,0.37,0.0022
2023-06-11,양천구,22,14,0.0601,0.0096,0.4,0.0025
2023-06-11,영등포구,21,12,0.0606,0.0108,0.37,0.0024
2023-06-11,용산구,19,14,0.0524,0.008,0.38,0.0026
2023-06-11,은평구,18,14,0.054,0.0042,0.53,0.0022
2023-06-11,종로구,17,10,0.0611,0.007,0.36,0.0024
2023-06-11,중구,17,12,0.0549,0.0089,0.35,0.0022
2023-06-11,중랑구,21,13,0.0519,0.0112,0.3,0.002
2023-06-10,평균,33,20,0.0618,0.0147,0.43,0.0027
2023-06-10,강남구,33,21,0.0593,0.0195,0.39,0.003
2023-06-10,강동구,31,20,0.0502,0.0145,0.38,0.0024
2023-06-10,강북구,34,20,0.0577,0.0115,0.41,0.0022
2023-06-10,강서구,36,21,0.0661,0.0116,0.45,0.0026
2023-06-10,관악구,37,22,0.0704,0.0142,0.45,0.0028
2023-06-10,광진구,32,19,0.0588,0.016,0.38,0.0025
2023-06-10,구로구,30,18,0.0581,0.0108,0.34,0.0025
2023-06-10,금천구,33,21,0.0609,0.0121,0.43,0.0032
2023-06-10,노원구,31,20,0.0577,0.0143,0.42,0.0026
2023-06-10,도봉구,32,19,0.0536,0.015,0.59,0.0027
2023-06-10,동대문구,35,22,0.0621,0.0157,0.43,0.0031
2023-06-10,동작구,31,15,0.069,0.012,0.37,0.0025
2023-06-10,마포구,33,21,0.0698,0.0153,0.44,0.0029
2023-06-10,서대문구,31,18,0.0668,0.0116,0.46,0.0023
2023-06-10,서초구,33,19,0.0636,0.0146,0.36,0.0027
2023-06-10,성동구,33,21,0.0607,0.0171,0.39,0.0026
2023-06-10,성북구,37,20,0.0539,0.0184,0.51,0.0021
2023-06-10,송파구,36,22,0.0628,0.0172,0.43,0.0025
2023-06-10,양천구,35,22,0.0681,0.0129,0.44,0.0028
2023-06-10,영등포구,33,19,0.0673,0.0165,0.43,0.0028
2023-06-10,용산구,35,23,0.0634,0.0175,0.47,0.0031
2023-06-10,은평구,37,23,0.0657,0.0113,0.6,0.0027
2023-06-10,종로구,31,17,0.0647,0.0142,0.45,0.0032
2023-06-10,중구,28,19,0.0581,0.0173,0.42,0.0026
2023-06-10,중랑구,32,21,0.0562,0.0173,0.38,0.0023
2023-06-09,평균,23,13,0.0572,0.0152,0.39,0.0025
2023-06-09,강남구,24,14,0.0596,0.0181,0.35,0.0029
2023-06-09,강동구,22,12,0.0489,0.0142,0.36,0.0024
2023-06-09,강북구,12,3,0.0541,0.0071,0.38,0.0019
2023-06-09,강서구,25,12,0.0632,0.0115,0.39,0.0025
2023-06-09,관악구,29,16,0.0628,0.0168,0.41,0.0026
2023-06-09,광진구,24,11,0.0573,0.0184,0.35,0.0025
2023-06-09,구로구,23,12,0.0542,0.0128,0.32,0.0024
2023-06-09,금천구,28,16,0.0519,0.015,0.39,0.0029
2023-06-09,노원구,20,10,0.0537,0.015,0.39,0.0024
2023-06-09,도봉구,20,10,0.059,0.0123,0.54,0.0027
2023-06-09,동대문구,24,12,0.0568,0.0159,0.41,0.0029
2023-06-09,동작구,25,14,0.0611,0.0131,0.34,0.0023
2023-06-09,마포구,26,16,0.0628,0.0196,0.41,0.0028
2023-06-09,서대문구,24,12,0.0579,0.015,0.39,0.0022
2023-06-09,서초구,26,13,0.0588,0.017,0.32,0.0027
2023-06-09,성동구,24,14,0.0598,0.0169,0.36,0.0025
2023-06-09,성북구,23,12,0.055,0.0186,0.45,0.002
2023-06-09,송파구,27,14,0.0601,0.0181,0.4,0.0023
2023-06-09,양천구,27,17,0.0625,0.0162,0.42,0.0028
2023-06-09,영등포구,18,9,0.0518,0.0129,0.35,0.0024
2023-06-09,용산구,28,17,0.0633,0.0164,0.41,0.0029
2023-06-09,은평구,18,14,0.0489,0.0063,0.51,0.0027
2023-06-09,종로구,22,10,0.06,0.016,0.42,0.0028
2023-06-09,중구,21,14,0.0507,0.0201,0.41,0.0025
2023-06-09,중랑구,21,12,0.0556,0.0171,0.35,0.0023
2023-06-08,평균,20,11,0.0419,0.0126,0.38,0.0026
2023-06-08,강남구,20,11,0.0428,0.0149,0.33,0.003
2023-06-08,강동구,21,13,0.035,0.0121,0.34,0.0024
2023-06-08,강북구,22,12,0.0462,0.0101,0.36,0.0021
2023-06-08,강서구,19,9,0.0463,0.011,0.37,0.0025
2023-06-08,관악구,21,11,0.0441,0.0119,0.36,0.0026
2023-06-08,광진구,21,12,0.0395,0.0127,,0.0024
2023-06-08,구로구,13,5,0.0395,0.0092,0.3,0.0023
2023-06-08,금천구,21,12,0.0353,0.0114,0.39,0.003
2023-06-08,노원구,23,13,0.0434,0.0127,0.38,0.0025
2023-06-08,도봉구,29,19,0.0373,0.01,0.6,0.003
2023-06-08,동대문구,21,11,0.0433,0.0121,0.38,0.0029
2023-06-08,동작구,18,10,0.0455,0.0102,0.3,0.0023
2023-06-08,마포구,18,11,0.0457,0.0133,0.36,0.0028
2023-06-08,서대문구,20,12,0.0418,0.011,0.39,
2023-06-08,서초구,22,10,0.0413,0.0131,0.3,0.0026
2023-06-08,성동구,20,11,0.0407,0.0148,0.34,0.0024
2023-06-08,성북구,24,12,0.0415,0.0144,0.42,0.0021
2023-06-08,송파구,23,12,0.0423,0.0138,0.36,0.0023
2023-06-08,양천구,18,10,0.045,0.0117,0.38,0.0026
2023-06-08,영등포구,17,8,0.0439,0.0137,0.36,0.0026
2023-06-08,용산구,21,13,0.0439,0.0136,0.39,0.003
2023-06-08,은평구,20,13,0.0437,0.0111,0.49,0.0025
2023-06-08,종로구,18,8,0.043,0.0132,0.41,0.0028
2023-06-08,중구,16,11,0.0371,0.0152,0.4,0.0025
2023-06-08,중랑구,21,13,0.0391,0.017,0.34,0.0023
2023-06-07,평균,33,19,0.0529,0.0135,0.38,0.0025
2023-06-07,강남구,32,20,0.0537,0.0147,0.33,0.0029
2023-06-07,강동구,35,20,0.0465,0.0113,0.31,0.0022
2023-06-07,강북구,37,20,0.0569,0.0128,0.39,0.0021
2023-06-07,강서구,34,17,0.0588,0.0108,0.38,0.0023
2023-06-07,관악구,34,19,0.0549,0.014,0.4,0.0026
2023-06-07,광진구,31,17,0.0526,0.0135,,0.0025
2023-06-07,구로구,26,13,0.0466,0.0071,0.3,0.0018
2023-06-07,금천구,31,19,0.0485,0.0138,0.39,0.003
2023-06-07,노원구,34,20,0.0559,0.0131,0.38,0.0024
2023-06-07,도봉구,38,22,0.0526,0.0124,0.54,0.0028
2023-06-07,동대문구,35,19,0.0538,0.013,0.39,0.0029
2023-06-07,동작구,30,18,0.0564,0.011,0.32,0.0023
2023-06-07,마포구,28,19,0.0581,0.0132,0.37,0.0028
2023-06-07,서대문구,35,20,0.0567,0.0123,0.4,
2023-06-07,서초구,38,18,0.0508,0.0124,0.33,0.0026
2023-06-07,성동구,32,20,0.0541,0.014,0.36,0.0023
2023-06-07,성북구,43,22,0.0502,0.0172,0.44,0.002
2023-06-07,송파구,37,21,0.0528,0.0197,0.36,0.0022
2023-06-07,양천구,26,15,0.0512,0.0113,0.35,0.0024
2023-06-07,영등포구,30,17,0.0552,0.0159,0.36,0.0026
2023-06-07,용산구,35,21,0.0536,0.0144,0.39,0.0028
2023-06-07,은평구,39,24,0.0518,0.0121,0.48,0.0025
2023-06-07,종로구,30,16,0.054,0.014,0.41,0.0029
2023-06-07,중구,29,19,0.0471,0.0166,0.42,0.0024
2023-06-07,중랑구,34,21,0.0502,0.016,0.32,0.0022
2023-06-06,평균,20,10,0.0565,0.0086,0.29,0.0025
2023-06-06,강남구,20,12,0.0588,0.0104,0.26,0.003
2023-06-06,강동구,21,10,0.0481,0.0089,0.26,0.0023
