Date,Gu,PM10,id
2023-01-18,Jungnang-gu,48.0,11260
2023-01-18,Jung-gu,,11140
2023-01-18,Jongno-gu,52.0,11110
2023-01-18,Eunpyeong-gu,49.0,11380
2023-01-18,Yongsan-gu,54.0,11170
2023-01-18,Yeongdeungpo-gu,53.0,11560
2023-01-18,Yangcheon-gu,62.0,11470
2023-01-18,Songpa-gu,54.0,11710
2023-01-18,Seongbuk-gu,55.0,11290
2023-01-18,Seongdong-gu,51.0,11200
2023-01-18,Seocho-gu,56.0,11650
2023-01-18,Seodaemun-gu,52.0,11410
2023-01-18,Mapo-gu,47.0,11440
2023-01-18,Dongjak-gu,58.0,11590
2023-01-18,Dongdaemun-gu,51.0,11230
2023-01-18,Dobong-gu,50.0,11320
2023-01-18,Nowon-gu,55.0,11350
2023-01-18,Geumcheon-gu,49.0,11545
2023-01-18,Guro-gu,61.0,11530
2023-01-18,Gwangjin-gu,47.0,11215
2023-01-18,Gwanak-gu,56.0,11620
2023-01-18,Gangseo-gu,70.0,11500
2023-01-18,Gangbuk-gu,54.0,11305
2023-01-18,Gangdong-gu,53.0,11740
2023-01-18,Gangnam-gu,51.0,11680
2023-01-18,,54.0,
