Date,Gu,PM10,id
2023-01-13,Jungnang-gu,21.0,11260
2023-01-13,Jung-gu,,11140
2023-01-13,Jongno-gu,19.0,11110
2023-01-13,Eunpyeong-gu,15.0,11380
2023-01-13,Yongsan-gu,18.0,11170
2023-01-13,Yeongdeungpo-gu,23.0,11560
2023-01-13,Yangcheon-gu,26.0,11470
2023-01-13,Songpa-gu,24.0,11710
2023-01-13,Seongbuk-gu,23.0,11290
2023-01-13,Seongdong-gu,26.0,11200
2023-01-13,Seocho-gu,24.0,11650
2023-01-13,Seodaemun-gu,16.0,11410
2023-01-13,Mapo-gu,18.0,11440
2023-01-13,Dongjak-gu,20.0,11590
2023-01-13,Dongdaemun-gu,26.0,11230
2023-01-13,Dobong-gu,18.0,11320
2023-01-13,Nowon-gu,23.0,11350
2023-01-13,Geumcheon-gu,26.0,11545
2023-01-13,Guro-gu,18.0,11530
2023-01-13,Gwangjin-gu,17.0,11215
2023-01-13,Gwanak-gu,25.0,11620
2023-01-13,Gangseo-gu,24.0,11500
2023-01-13,Gangbuk-gu,15.0,11305
2023-01-13,Gangdong-gu,20.0,11740
2023-01-13,Gangnam-gu,21.0,11680
2023-01-13,,21.0,
