date,name,PM10,PM2.5,O3,NO2,CO,SO2
2023-02-12,평균,70,57,0.0185,0.0333,0.76,0.0028
2023-02-12,강남구,70,51,0.017,0.0379,0.73,0.0032
2023-02-12,강동구,74,56,0.0167,0.0241,0.62,0.0023
2023-02-12,강북구,76,62,0.0251,0.0232,0.78,0.0021
2023-02-12,강서구,74,56,0.0184,0.0354,0.83,0.0038
2023-02-12,관악구,74,52,0.0132,0.0425,0.89,0.0027
2023-02-12,광진구,63,55,0.0178,0.0275,0.66,0.0032
2023-02-12,구로구,75,59,0.0155,0.0331,0.74,0.0029
2023-02-12,금천구,71,63,0.0158,0.0424,0.83,0.0029
2023-02-12,노원구,75,64,0.0194,0.0324,0.8,0.0028
2023-02-12,도봉구,67,56,0.0259,0.0241,0.75,0.0026
2023-02-12,동대문구,68,57,0.0204,0.0323,0.75,0.0033
2023-02-12,동작구,73,65,0.0155,0.041,0.78,0.0026
2023-02-12,마포구,62,56,0.0158,0.037,0.81,0.003
2023-02-12,서대문구,68,58,0.0224,0.0321,,
2023-02-12,서초구,66,59,0.0156,0.0357,0.74,0.0025
2023-02-12,성동구,72,49,0.0175,0.0297,0.57,0.0023
2023-02-12,성북구,70,55,0.0207,0.0326,0.77,0.0027
2023-02-12,송파구,64,51,0.017,0.0349,0.79,0.0025
2023-02-12,양천구,75,66,0.0151,0.0336,0.8,0.0033
2023-02-12,영등포구,69,57,0.0159,0.0379,0.83,0.0028
2023-02-12,용산구,63,54,0.0191,0.0347,0.81,0.0029
2023-02-12,은평구,68,57,0.019,0.0334,0.74,0.0017
2023-02-12,종로구,68,58,0.0214,0.0315,0.77,0.0029
2023-02-12,중구,,,,,,
2023-02-12,중랑구,65,54,0.0237,0.0291,0.66,0.0025
2023-02-11,평균,45,35,0.0125,0.039,0.66,0.0028
2023-02-11,강남구,43,30,0.0135,0.0403,0.59,0.0031
2023-02-11,강동구,47,35,0.0085,0.0318,0.56,0.0023
2023-02-11,강북구,47,37,0.0172,0.03,0.73,0.002
2023-02-11,강서구,51,37,0.0122,0.042,0.72,0.0044
2023-02-11,관악구,53,36,0.0097,0.0456,0.76,0.0029
2023-02-11,광진구,41,34,0.01,0.0341,0.58,0.0033
2023-02-11,구로구,51,39,0.0106,0.0384,0.64,0.003
2023-02-11,금천구,49,43,0.0115,0.0435,0.66,0.003
2023-02-11,노원구,46,38,0.0138,0.0402,0.73,0.0028
2023-02-11,도봉구,42,35,0.0158,0.0331,0.65,0.0026
2023-02-11,동대문구,43,34,0.0148,0.0375,0.65,0.0034
2023-02-11,동작구,49,43,0.0108,0.0442,0.66,0.0025
2023-02-11,마포구,39,33,0.0116,0.0413,0.68,0.0033
2023-02-11,서대문구,45,36,0.0186,0.0382,,
2023-02-11,서초구,44,35,0.0108,0.0417,0.65,0.0026
