Date,Gu,PM10,id
2023-01-12,Jungnang-gu,58.0,11260
2023-01-12,Jung-gu,,11140
2023-01-12,Jongno-gu,53.0,11110
2023-01-12,Eunpyeong-gu,46.0,11380
2023-01-12,Yongsan-gu,60.0,11170
2023-01-12,Yeongdeungpo-gu,72.0,11560
2023-01-12,Yangcheon-gu,73.0,11470
2023-01-12,Songpa-gu,73.0,11710
2023-01-12,Seongbuk-gu,62.0,11290
2023-01-12,Seongdong-gu,71.0,11200
2023-01-12,Seocho-gu,75.0,11650
2023-01-12,Seodaemun-gu,53.0,11410
2023-01-12,Mapo-gu,52.0,11440
2023-01-12,Dongjak-gu,74.0,11590
2023-01-12,Dongdaemun-gu,55.0,11230
2023-01-12,Dobong-gu,49.0,11320
2023-01-12,Nowon-gu,60.0,11350
2023-01-12,Geumcheon-gu,67.0,11545
2023-01-12,Guro-gu,75.0,11530
2023-01-12,Gwangjin-gu,63.0,11215
2023-01-12,Gwanak-gu,81.0,11620
2023-01-12,Gangseo-gu,70.0,11500
2023-01-12,Gangbuk-gu,53.0,11305
2023-01-12,Gangdong-gu,69.0,11740
2023-01-12,Gangnam-gu,67.0,11680
2023-01-12,,64.0,
