date,name,PM10,PM2.5,O3,NO2,CO,SO2
2023-04-12,평균,260,30,0.029,0.0196,0.33,0.0025
2023-04-12,강남구,246,21,0.0347,0.0189,0.29,0.0028
2023-04-12,강동구,252,23,0.0262,0.0186,0.28,0.0024
2023-04-12,강북구,269,31,0.0355,0.0117,0.34,0.002
2023-04-12,강서구,286,24,0.0304,0.023,0.35,0.003
2023-04-12,관악구,247,32,0.0321,0.0231,0.38,0.0024
2023-04-12,광진구,253,25,0.0266,0.0168,0.24,0.0031
2023-04-12,구로구,319,35,0.0215,0.0212,0.32,0.0031
2023-04-12,금천구,192,28,0.0252,0.0197,0.34,0.0027
2023-04-12,노원구,257,29,0.0302,0.0193,0.37,0.0027
2023-04-12,도봉구,264,30,0.0325,0.0143,0.32,0.0022
2023-04-12,동대문구,267,26,0.0333,0.0176,0.34,0.0028
2023-04-12,동작구,239,27,0.0369,0.018,0.28,0.0023
2023-04-12,마포구,215,27,0.0265,0.0224,0.35,0.0025
2023-04-12,서대문구,282,33,0.0304,0.0105,0.27,0.0031
2023-04-12,서초구,288,41,0.0214,0.0226,0.34,0.0021
2023-04-12,성동구,246,31,0.0311,0.0212,0.28,0.0023
2023-04-12,성북구,309,37,0.0278,0.0214,0.38,0.0024
2023-04-12,송파구,291,40,0.0274,0.0261,0.37,0.0024
2023-04-12,양천구,247,27,0.0238,0.024,0.38,0.0021
2023-04-12,영등포구,222,22,0.0258,0.024,0.34,0.0025
2023-04-12,용산구,306,30,0.031,0.0198,0.35,0.0029
2023-04-12,은평구,273,38,0.0273,0.0149,0.32,0.0021
2023-04-12,종로구,267,26,0.0306,0.0193,0.37,
2023-04-12,중구,234,24,0.0274,0.0227,0.35,0.0025
2023-04-12,중랑구,241,31,0.0306,0.0191,0.31,0.0021
2023-04-11,평균,64,18,0.0381,0.0154,0.33,0.0026
2023-04-11,강남구,58,16,0.0402,0.0177,0.3,0.0028
2023-04-11,강동구,57,17,0.0337,0.0142,0.27,0.0023
2023-04-11,강북구,79,22,0.0421,0.014,0.36,0.0023
2023-04-11,강서구,79,17,0.0384,0.0169,0.32,0.0025
2023-04-11,관악구,67,20,0.0414,0.0145,0.37,0.0027
2023-04-11,광진구,58,16,0.0334,0.0136,0.26,0.0033
2023-04-11,구로구,85,20,0.0311,0.0119,0.32,0.0028
2023-04-11,금천구,57,18,0.0383,0.0146,0.34,0.0027
2023-04-11,노원구,70,20,0.036,0.0187,0.37,0.0027
2023-04-11,도봉구,88,21,0.0391,0.013,0.37,0.0028
2023-04-11,동대문구,68,18,0.0377,0.0169,0.36,0.0029
2023-04-11,동작구,61,19,0.0497,0.0125,0.28,0.0024
2023-04-11,마포구,55,16,0.0357,0.0159,0.33,0.0025
2023-04-11,서대문구,34,14,0.0507,0.0087,0.3,0.0033
2023-04-11,서초구,46,13,0.0401,0.0123,0.3,0.0025
2023-04-11,성동구,56,19,0.0386,0.0174,0.28,0.0024
2023-04-11,성북구,82,23,0.0339,0.0201,0.35,0.0023
2023-04-11,송파구,51,17,0.0405,0.0196,0.32,0.0025
2023-04-11,양천구,67,19,0.0334,0.0155,0.34,0.0025
2023-04-11,영등포구,60,14,0.0336,0.0172,0.32,0.0025
2023-04-11,용산구,67,19,0.0394,0.0152,0.35,0.003
2023-04-11,은평구,70,23,0.038,0.0114,0.42,0.0022
2023-04-11,종로구,65,17,0.0353,0.0169,0.38,
2023-04-11,중구,57,17,0.0359,0.019,0.35,0.0026
2023-04-11,중랑구,60,20,0.0372,0.0177,0.31,0.0022
2023-04-10,평균,45,17,0.0433,0.021,0.41,0.003
2023-04-10,강남구,41,16,0.0461,0.0226,0.39,0.0033
2023-04-10,강동구,43,16,0.0346,0.0206,0.35,0.0026
2023-04-10,강북구,45,20,0.0456,0.0188,0.45,0.0025
2023-04-10,강서구,50,14,0.0512,0.0191,0.4,0.003
2023-04-10,관악구,46,19,0.0513,0.0219,0.46,0.0031
2023-04-10,광진구,42,16,0.0343,0.0188,0.34,0.0032
2023-04-10,구로구,49,16,0.0398,0.0154,0.42,0.0035
2023-04-10,금천구,37,16,0.0515,0.0152,0.39,0.0034
2023-04-10,노원구,46,21,0.0404,0.0251,0.47,0.0032
2023-04-10,도봉구,46,20,0.0435,0.0189,0.42,0.0035
2023-04-10,동대문구,48,18,0.0427,0.0242,0.46,0.0036
2023-04-10,동작구,41,17,0.0568,0.0187,0.39,0.0028
2023-04-10,마포구,38,17,0.0479,0.0188,0.43,0.0031
2023-04-10,서대문구,41,15,0.0492,0.0108,0.37,0.0032
2023-04-10,서초구,68,18,0.0399,0.0194,0.37,0.0028
2023-04-10,성동구,42,18,0.0469,0.0214,0.37,0.0028
2023-04-10,성북구,49,20,0.036,0.0285,0.28,0.0028
2023-04-10,송파구,55,18,0.022,0.0351,0.47,0.0026
2023-04-10,양천구,42,16,0.0421,0.0186,0.41,0.0026
2023-04-10,영등포구,41,13,0.0432,0.023,0.42,0.0032
2023-04-10,용산구,46,19,0.043,0.0237,0.45,0.0033
2023-04-10,은평구,43,18,0.0492,0.0137,0.38,0.0025
2023-04-10,종로구,43,17,0.0408,0.0247,0.5,0.003
2023-04-10,중구,40,18,0.0412,0.0262,0.46,0.003
2023-04-10,중랑구,42,19,0.0423,0.0228,0.4,0.0026
2023-04-09,평균,58,16,0.0393,0.0162,0.43,0.0031
2023-04-09,강남구,52,13,0.0433,0.0162,0.38,0.0034
2023-04-09,강동구,55,14,0.034,0.015,0.37,0.0029
2023-04-09,강북구,54,16,0.0401,0.0146,0.42,0.0025
2023-04-09,강서구,71,14,0.041,0.0178,0.45,0.0032
2023-04-09,관악구,62,19,0.0435,0.0186,0.5,0.0031
2023-04-09,광진구,55,13,0.0338,0.0152,0.34,0.0032
2023-04-09,구로구,72,17,0.0346,0.0125,0.44,0.0037
2023-04-09,금천구,51,15,0.0418,0.0129,0.43,0.0033
2023-04-09,노원구,57,18,0.0375,0.019,0.47,0.0033
2023-04-09,도봉구,56,16,0.0398,0.0144,0.39,0.003
2023-04-09,동대문구,57,13,0.0431,0.0169,0.43,0.0035
2023-04-09,동작구,54,16,0.0483,0.017,0.39,0.003
2023-04-09,마포구,53,16,0.0398,0.0165,0.45,0.0032
2023-04-09,서대문구,59,15,0.0379,0.0107,0.36,0.0034
2023-04-09,서초구,61,17,0.0377,0.013,0.4,0.0027
2023-04-09,성동구,56,16,0.0411,0.0169,0.37,0.0028
2023-04-09,성북구,64,18,0.036,0.0205,0.58,0.0032
2023-04-09,송파구,60,13,0.0394,0.0177,0.44,0.0027
