Date,Gu,PM10,id
2023-01-17,Jungnang-gu,32.0,11260
2023-01-17,Jung-gu,,11140
2023-01-17,Jongno-gu,31.0,11110
2023-01-17,Eunpyeong-gu,41.0,11380
2023-01-17,Yongsan-gu,31.0,11170
2023-01-17,Yeongdeungpo-gu,31.0,11560
2023-01-17,Yangcheon-gu,36.0,11470
2023-01-17,Songpa-gu,33.0,11710
2023-01-17,Seongbuk-gu,33.0,11290
2023-01-17,Seongdong-gu,32.0,11200
2023-01-17,Seocho-gu,32.0,11650
2023-01-17,Seodaemun-gu,31.0,11410
2023-01-17,Mapo-gu,28.0,11440
2023-01-17,Dongjak-gu,30.0,11590
2023-01-17,Dongdaemun-gu,31.0,11230
2023-01-17,Dobong-gu,29.0,11320
2023-01-17,Nowon-gu,36.0,11350
2023-01-17,Geumcheon-gu,26.0,11545
2023-01-17,Guro-gu,35.0,11530
2023-01-17,Gwangjin-gu,31.0,11215
2023-01-17,Gwanak-gu,28.0,11620
2023-01-17,Gangseo-gu,43.0,11500
2023-01-17,Gangbuk-gu,33.0,11305
2023-01-17,Gangdong-gu,37.0,11740
2023-01-17,Gangnam-gu,31.0,11680
2023-01-17,,33.0,
