Date,Gu,PM10,id
2023-01-14,Jungnang-gu,10.0,11260
2023-01-14,Jung-gu,,11140
2023-01-14,Jongno-gu,11.0,11110
2023-01-14,Eunpyeong-gu,11.0,11380
2023-01-14,Yongsan-gu,11.0,11170
2023-01-14,Yeongdeungpo-gu,16.0,11560
2023-01-14,Yangcheon-gu,14.0,11470
2023-01-14,Songpa-gu,10.0,11710
2023-01-14,Seongbuk-gu,16.0,11290
2023-01-14,Seongdong-gu,11.0,11200
2023-01-14,Seocho-gu,13.0,11650
2023-01-14,Seodaemun-gu,14.0,11410
2023-01-14,Mapo-gu,12.0,11440
2023-01-14,Dongjak-gu,11.0,11590
2023-01-14,Dongdaemun-gu,14.0,11230
2023-01-14,Dobong-gu,13.0,11320
2023-01-14,Nowon-gu,16.0,11350
2023-01-14,Geumcheon-gu,15.0,11545
2023-01-14,Guro-gu,12.0,11530
2023-01-14,Gwangjin-gu,7.0,11215
2023-01-14,Gwanak-gu,16.0,11620
2023-01-14,Gangseo-gu,15.0,11500
2023-01-14,Gangbuk-gu,13.0,11305
2023-01-14,Gangdong-gu,7.0,11740
2023-01-14,Gangnam-gu,11.0,11680
2023-01-14,,12.0,
