Date,Gu,PM10,id
2023-01-15,Jungnang-gu,14.0,11260
2023-01-15,Jung-gu,,11140
2023-01-15,Jongno-gu,12.0,11110
2023-01-15,Eunpyeong-gu,14.0,11380
2023-01-15,Yongsan-gu,16.0,11170
2023-01-15,Yeongdeungpo-gu,15.0,11560
2023-01-15,Yangcheon-gu,16.0,11470
2023-01-15,Songpa-gu,15.0,11710
2023-01-15,Seongbuk-gu,14.0,11290
2023-01-15,Seongdong-gu,15.0,11200
2023-01-15,Seocho-gu,13.0,11650
2023-01-15,Seodaemun-gu,12.0,11410
2023-01-15,Mapo-gu,13.0,11440
2023-01-15,Dongjak-gu,16.0,11590
2023-01-15,Dongdaemun-gu,13.0,11230
2023-01-15,Dobong-gu,9.0,11320
2023-01-15,Nowon-gu,13.0,11350
2023-01-15,Geumcheon-gu,16.0,11545
2023-01-15,Guro-gu,15.0,11530
2023-01-15,Gwangjin-gu,14.0,11215
2023-01-15,Gwanak-gu,18.0,11620
2023-01-15,Gangseo-gu,19.0,11500
2023-01-15,Gangbuk-gu,12.0,11305
2023-01-15,Gangdong-gu,15.0,11740
2023-01-15,Gangnam-gu,15.0,11680
2023-01-15,,14.0,
